standard_smiles,logSw,ID,Name,latent_index,fold
C/C(=C\CO)CCC1=C(C=O)CC(OC2OCC(O)C(O)C2O)C2[C@@](C)(CO)CCC[C@@]12C,1.74,164,gaudichaudioside_A,0,0
C/C=C/c1ccc(OC)cc1,1.11,99,trans-anethole,1,1
C=C(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.99,189,asp_79,2,2
C=C(C)C1CC=C(/C=N/O)CC1,3.3,300,perrilartine,3,3
C=C(C)C1CC=C(C=O)CC1,1.08,97,perillaldehyde,4,4
C=C(C)C1CC[C@]2(C)[C@@H](CC(O[C@@H]3OCC(O)C(O)C3O)[C@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@@]32C)[C@]1(C)CCC(=O)O,1.88,173,pterocaryoside_B,5,0
C=C(C)C1CC[C@]2(C)[C@H](CC(O[C@@H]3OC(C)C(O)C(O)C3O)[C@H]3[C@H]([C@](C)(O)C/C=C/C(C)(C)O)CC[C@]32C)[C@]1(C)CCC(=O)O,1.8,167,pterocaryoside_A,6,1
C=C1C[C@@]23CCC4[C@@](C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)C2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,2.35,248,rebaudioside_E,7,2
C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)C2CC[C@@]1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3,1.93,181,dulcoside_A,8,3
C=C1C[C@@]23CC[C@H]4[C@@](C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)[C@@H]2CC[C@@]1(O[C@@H]1OC(CO)C(O)C(O)C1O)C3,2.06,206,rubusoside,9,4
C=C1C[C@@]23CC[C@H]4[C@@](C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)[C@H]2CC[C@@]1(O[C@@H]1OC(CO)C(O)C(O)C1O[C@H]1OC(CO)C(O)C(O)C1O)C3,2.27,235,stevioside,10,0
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C3,1.93,182,rebaudioside_C,11,1
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,2.47,254,rebaudioside_A,12,2
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3,2.51,260,rebaudioside_D,13,3
C=C1C[C@]23CC[C@@H]4[C@@](C)(C(=O)O)CCC[C@@]4(C)[C@H]2CC[C@]1(O[C@@H]1OC(CO)C(O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C1O[C@H]1OC(CO)C(O)C(O)C1O)C3,2.51,259,rebaudioside_B,14,4
C=C1C[C@]23CC[C@@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@]1(O[C@H]1OC(CO)C(O)C(O)C1O[C@@H]1OC(CO)C(O)C(O)C1O)C3,2.05,205,steviolbioside,15,0
C=C1C[C@]23CC[C@H]4[C](C(=O)OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)[C@@H]2CC[C@@]1(O[C@H]1OC(CO)C(O)C(O[C@H]2OC(CO)C(O)C(O)C2O)C1O[C@H]1OCC(O)C(O)C1O)C3,2.05,204,rebaudioside_F,16,1
C=CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.85,169,asp_76,17,2
CC(=O)NC(C=O)C(O)C(O)C(O)CO,-0.26,35,N-Acetyl-D-glucosamine,18,3
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,1.9,175,taxifolin_3-acetate,19,4
CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,1.61,154,asp_74,20,0
CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.23,114,asp_90,21,1
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,1.58,148,asp_106,22,2
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,0.48,62,asp_104,23,3
CC(=O)OCC1OC(OC2CC[C@@]3(C)C(CC[C@]4(C)C3CC(OC3OC(C)C(O)C(O)C3O)C3C([C@@]5(C)CCC(C(C)(C)O)O5)CC[C@@]34C)C2(C)C)C(O)C1O,2.3,243,cyclocarioside_A,24,4
CC(=O)OCCNC(=O)C(N)CC(=O)O,0.28,59,asp_67,25,0
CC(C)(C)OC(=O)CCNC(=O)C(N)CC(=O)O,0.36,60,asp_135,26,1
CC(C)(Cc1ccccc1)NC(=O)C(N)CC(=O)O,1.19,108,asp_17,27,2
CC(C)=CCC[C@](C)(O)[C@@H]1CCC(C)=CC1=O,3.13,296,hernandulcin,28,3
CC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.48,133,asp_93,29,4
CC(C)C(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,1.1,98,asp_108,30,0
CC(C)C(=O)OCCNC(=O)C(N)CC(=O)O,1.16,104,asp_70,31,1
CC(C)C(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,1.22,112,asp_109,32,2
CC(C)C(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,1.06,96,asp_110,33,3
CC(C)CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,2.08,210,asp_83,34,4
CC(C)CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,1.3,116,asp_96,35,0
CC(C)CC(=O)OCCNC(=O)C(N)CC(=O)O,1.36,122,asp_73,36,1
CC(C)COC(=O)C(CO)NC(=O)C(N)CC(=O)O,2.21,231,asp_165,37,2
CC(C)OC(=O)C(C)CNC(=O)C(N)CC(=O)O,0.18,56,asp_140,38,3
CC(C)OC(=O)C(C)NC(=O)C(N)CC(=O)O,1.95,183,asp_189,39,4
CC(C)OC(=O)C(CO)NC(=O)C(N)CC(=O)O,1.96,184,asp_163,40,0
CC(C)OC(=O)C(NC(=O)C(N)CC(=O)O)C(C)C,2.15,221,asp_193,41,1
CC(C)OC(=O)CCNC(=O)C(N)CC(=O)O,0.7,78,asp_155,42,2
CC(CC(=O)OC(C)(C)C)NC(=O)C(N)CC(=O)O,0.68,74,asp_131,43,3
CC(CC(=O)OC(C)C)NC(=O)C(N)CC(=O)O,0.84,81,asp_129,44,4
CC(CC(=O)OC1CCCCC1)NC(=O)C(N)CC(=O)O,0.64,72,asp_132,45,0
CC(CC1CCCCC1)NC(=O)C(N)CC(=O)O,1.57,145,asp_8,46,1
CC(CCC(OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@H](CCC(O[C@H]5OC(CO)C(O)C(O)C5O)C4(C)C)[C@]3(C)C(O)C[C@@]12C,1.92,179,mogroside_II,47,2
CC(CC[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@H]3CC=C4[C@H](CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,2.49,258,mogroside_IV,48,3
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC(C)(C)C,0.51,63,asp_141,49,4
CC(CNC(=O)C(N)CC(=O)O)C(=O)OC1CCCC1,0.88,83,asp_142,50,0
