method,seed,n_scored,hard_pass,vina_supported,gold_real_vina,mean_real_vina,best_real_vina,mean_pred_logsw,mean_p_sweet
A,2026,10,1,9,1,-8.1966,-9.792,3.304136538505554,0.3901667230762541
A,2027,10,2,6,1,-7.0891,-7.997,2.797307562828064,0.2947953346534632
A,2028,10,1,10,1,-8.194399999999998,-9.479,2.8197818279266356,0.4434504275675863
A,2029,10,2,8,1,-7.892799999999999,-9.652,3.071756601333618,0.6378325708443299
A,2030,10,1,10,1,-8.006400000000001,-9.553,3.4065703630447386,0.35191149241290987
B,2026,10,2,10,2,-8.4416,-10.224,2.886763095855713,0.6104369243141263
B,2027,8,4,8,3,-8.05325,-9.422,3.4239711284637453,0.6387612849473954
B,2028,10,3,10,3,-8.4592,-10.994,3.4176815032958983,0.8893628418445587
B,2029,10,1,8,1,-7.5329,-8.837,2.7308857679367065,0.27141175603610457
B,2030,10,1,6,1,-6.819,-7.301,3.437481236457825,0.23998053604736924
C,2026,10,6,9,6,-7.1267,-7.756,2.6898844718933104,0.8906179209239781
C,2027,10,6,10,6,-7.7812,-8.834,2.663947010040283,0.6785868559032678
C,2028,9,4,9,4,-7.543666666666667,-8.073,2.500833100742764,0.8693856646617254
C,2029,10,10,9,9,-7.524299999999999,-8.36,2.9351694345474244,0.9927317261695862
C,2030,10,10,10,10,-7.5809,-8.529,2.916530990600586,0.9957167983055115
D,2026,10,8,9,7,-7.564699999999999,-9.126,2.940487432479858,0.8177565898746252
D,2027,10,2,10,2,-8.0821,-8.779,2.847446012496948,0.42693082223413514
D,2028,10,3,7,1,-7.2904,-8.366,3.0050915241241456,0.39934543680865314
D,2029,10,3,8,2,-7.6422,-9.424,3.0324398040771485,0.4784096759627573
D,2030,10,10,10,10,-7.5809,-8.529,2.9165310144424437,0.9957167983055115
