ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
A_seed2026_final_top1,CC(C)(C)CNc1ncc(N=CC2CC(c3ccccc3)=NO2)s1,A,Random latent GA,group_a_random,2026,1,0.1932099312543869,3.5578088760375977,6.57772970199585,3.1089817905426025,False,True,True,False,-7.36,True,False
A_seed2026_final_top2,CC=C1C=C2c3cn(c4ccccc34)C(=O)C23N(C1)C(=O)n1c2c(C#N)cccc2c(=O)n13,A,Random latent GA,group_a_random,2026,2,0.6711663007736206,3.509296417236328,7.391994476318359,3.7151479530334472,False,True,False,False,-9.668,True,False
A_seed2026_final_top3,COc1ccc2c3c1N1C4=C5C(=O)N6CC7(C)CCC8(N5CC15N2C(=NCN58)S3)C46C7,A,Random latent GA,group_a_random,2026,3,0.5736827850341797,3.431926727294922,7.483655452728271,3.504766683578491,False,True,False,False,-8.975,True,False
A_seed2026_final_top4,CCCC(CCO)CCN1C(=O)C(C(=O)Nc2c(C)cccc2C)=CC1=NO,A,Random latent GA,group_a_random,2026,4,0.1548434048891067,3.418919801712036,7.441764831542969,2.970139741897583,False,True,False,False,-7.311,True,False
A_seed2026_final_top5,CCc1nn(C)cc1C(=NNc1nc2nc(N(C)C)ncc2s1)N(C)c1ccc(Cl)cc1,A,Random latent GA,group_a_random,2026,5,0.2020138651132583,3.301208019256592,7.093360900878906,2.863825979232788,False,True,True,False,-9.563,True,False
A_seed2026_final_top6,CN1C2C(N3CCN(C(=O)CCN)CC3)C3=C4NC1(C3)C(c1ccco1)N42,A,Random latent GA,group_a_random,2026,6,0.9594875574111938,3.294984817504883,7.832165718078613,3.7378933429718018,True,True,False,False,-7.541,True,False
A_seed2026_final_top7,CN(C(=O)C(=CN)C(C(N)=O)=C(CN)c1cccs1)c1ccc(Br)cc1,A,Random latent GA,group_a_random,2026,7,0.0919078215956687,3.1653506755828857,7.269351005554199,2.6448309421539307,False,True,False,False,-6.675,False,False
A_seed2026_final_top8,N#Cc1ccc(OC2(Cc3ccco3)C=NC(C3CC3)=C2N)cc1,A,Random latent GA,group_a_random,2026,8,0.1333112269639969,3.1649951934814453,6.741538047790527,2.6982998847961426,False,True,True,False,-7.43,True,False
A_seed2026_final_top9,N#Cc1cc2cc(F)c1N(C(=O)NC=NCC1CC1)N2C(=O)c1cccnc1,A,Random latent GA,group_a_random,2026,9,0.9138116240501404,3.12464451789856,6.348336696624756,3.581550359725952,True,True,True,True,-9.792,True,True
A_seed2026_final_top10,C=CCCC(O)=Nc1cc2c(C)nn1c2NC(=O)c1ccc(C)cc1,A,Random latent GA,group_a_random,2026,10,0.008232713676989,3.072230339050293,6.074915885925293,2.382932844161988,False,True,True,False,-7.651,True,False
A_seed2027_final_top1,CCCOc1ccc2c3cn(c2c1)C1(NCC(=O)O1)C3=O,A,Random latent GA,group_a_random,2027,1,0.0007643477292731,3.4728105068206787,6.0474772453308105,2.833804130554199,False,True,True,False,-7.997,True,False
A_seed2027_final_top2,CCCOc1ccc2c(c1)N(C)C1NC(C)C2C1=O,A,Random latent GA,group_a_random,2027,2,0.0162242669612169,3.344172954559326,5.87710428237915,2.725264549255371,False,True,True,False,-6.914,True,False
A_seed2027_final_top3,Clc1ccc(OCCCNC2CCCn3ncnc32)cc1,A,Random latent GA,group_a_random,2027,3,0.126215860247612,3.020185232162476,5.907146453857422,2.5442657470703125,False,True,True,False,-6.793,False,False
A_seed2027_final_top4,CN1CCCOC12Cc1cn2c2cc(O)ccc12,A,Random latent GA,group_a_random,2027,4,0.6568564176559448,2.7960128784179688,5.854421615600586,3.0099263191223145,False,True,True,False,-7.163,True,False
A_seed2027_final_top5,O=C1c2cn(c3cc(Cl)ccc23)C12NCCCO2,A,Random latent GA,group_a_random,2027,5,0.9674147367477416,2.758729934692383,5.801705837249756,3.2424373626708984,True,True,True,True,-7.798,True,True
A_seed2027_final_top6,CCCOc1ccc2c3cn(c2c1)C(NCC)C3=O,A,Random latent GA,group_a_random,2027,6,0.8845196962356567,2.622187852859497,5.904892921447754,3.0644476413726807,True,True,True,True,-6.602,False,False
A_seed2027_final_top7,CCCOc1ccc2c(c1)N1C=CN3C(C)C2CC13,A,Random latent GA,group_a_random,2027,7,0.0054726633243262,2.5321977138519287,5.593840599060059,1.8093121385574344,False,False,True,False,-6.998,True,False
A_seed2027_final_top8,CCCOc1ccc2c(c1)N1C3CC(C2N3)C1O,A,Random latent GA,group_a_random,2027,8,0.2763805389404297,2.501159429550171,5.978798389434815,2.220454216003418,False,False,True,False,-6.744,False,False
A_seed2027_final_top9,CCN1CCCOC12C(=O)c1cn2c2ccccc12,A,Random latent GA,group_a_random,2027,9,0.0032559295650571,2.476680040359497,5.107882022857666,1.7509125804901124,False,False,True,False,-7.166,True,False
A_seed2027_final_top10,CCC1COc2cc3c4cn(c3cc2O1)C(N)C4=O,A,Random latent GA,group_a_random,2027,10,0.0108488891273736,2.448939085006714,6.314968585968018,1.823042631149292,False,False,True,False,-6.716,False,False
A_seed2028_final_top1,COc1ccoc1C=C1C2C3CCC24c2ccccc2ON4C1S3(=O)=O,A,Random latent GA,group_a_random,2028,1,0.0027008834294974,3.7145395278930655,6.033742427825928,3.0780506134033203,False,True,True,False,-9.479,True,False
A_seed2028_final_top2,COc1ccccc1C12CCC3(C1)OCN(S(C)(=O)=O)C3N2,A,Random latent GA,group_a_random,2028,2,0.5159677863121033,3.212880849838257,5.542065620422363,3.2436389923095703,False,True,True,False,-8.293,True,False
A_seed2028_final_top3,COc1ccccc1C12C3C4C5C6OC3(CN61)CC2(N5CS)S4(=O)=O,A,Random latent GA,group_a_random,2028,3,0.995563268661499,2.9220635890960693,7.912786960601807,3.35748384475708,True,True,False,False,-7.528,True,False
A_seed2028_final_top4,COc1ccccc1C12CC3OCN(C3N1)S(=O)(=O)C2,A,Random latent GA,group_a_random,2028,4,0.0415318235754966,2.7913217544555664,6.780557155609131,2.205313205718994,False,True,True,False,-7.615,True,False
A_seed2028_final_top5,COc1ccccc1C12CC3C(CC1C3S(=O)(=O)c1ccc(NC(=O)C(C)=C(N)O)cc1)N2,A,Random latent GA,group_a_random,2028,5,0.0578173846006393,2.764014482498169,7.12738037109375,2.199177026748657,False,True,True,False,-8.408,True,False
A_seed2028_final_top6,COc1ccccc1C1C2CS(=O)(=O)C3C2OCN13,A,Random latent GA,group_a_random,2028,6,0.7174022793769836,2.735815048217773,6.324028491973877,3.028438091278076,False,True,True,False,-7.161,True,False
A_seed2028_final_top7,COc1ccccc1C12C3CS(=O)(=O)C1CC31CN2S(=O)(=O)O1,A,Random latent GA,group_a_random,2028,7,0.009477624669671,2.6499722003936768,6.786513328552246,2.0222930908203125,False,True,True,False,-8.852,True,False
A_seed2028_final_top8,COc1ccccc1C12CCC3C(N1)N1C(O)C32CS1(=O)=O,A,Random latent GA,group_a_random,2028,8,0.9312247037887572,2.638659715652466,6.486084938049316,3.1042721271514893,True,True,True,True,-8.244,True,True
A_seed2028_final_top9,COc1ccccc1C12CC3CS(=O)(=O)N4COC3(C1)C4N2,A,Random latent GA,group_a_random,2028,9,0.1818824708461761,2.3895721435546875,6.202304363250732,1.986019253730774,False,False,True,False,-7.97,True,False
