ID,smiles,method,method_label,init_mode,seed,generation,rank,source_rank,score_ga,p_sweet,pred_logsw,d_ood,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
A_seed2026_gen001_top1,O=C1C=CC2C(Cc3nc4oc5nc(=O)c4c(=O)n3-5)C(c3ccccc3)=NN12,A,Random latent GA,group_a_random,2026,1,1,2,3.0748565196990967,0.2175659388303756,3.432020664215088,6.090174674987793,False,True,True,False,,False,False
A_seed2026_gen001_top2,COc1ccc(NC=C(N=CC2C(=O)NC3CNC2C3(C)C)C2CC2)cc1,A,Random latent GA,group_a_random,2026,1,2,0,3.38831114768982,0.8550133109092712,2.9608044624328613,6.286275386810303,True,True,True,True,,False,False
A_seed2026_gen001_top3,CNc1c(C(=O)n2c(=O)n(Cc3ccccc3C)c3cc(C)c(C)cc32)c(=O)n2nc1cc2C,A,Random latent GA,group_a_random,2026,1,3,1,3.1532344818115234,0.6682502031326294,2.924509286880493,6.623260498046875,False,True,True,False,,False,False
A_seed2026_gen001_top4,CCOc1ccccc1C(=O)N1CCN(S(=O)(=O)c2ccc(F)c(F)c2)CC1,A,Random latent GA,group_a_random,2026,1,4,5,2.867151498794556,0.735075056552887,2.551553964614868,5.863061904907227,False,False,True,False,,False,False
A_seed2026_gen001_top5,COc1ccc(S(=O)(=O)NCC#CCOc2cccnc2)cc1C,A,Random latent GA,group_a_random,2026,1,5,6,2.8440444469451904,0.7717981934547424,2.4807069301605225,5.913996696472168,False,False,True,False,,False,False
A_seed2026_gen002_top1,Cc1ccc(C(=O)Oc2ccc(C3=NN4C(=O)C=C5N6CC=CC54C3C6)cc2)cc1,A,Random latent GA,group_a_random,2026,2,1,7,3.095682144165039,0.2650387287139892,3.391131639480591,5.948304176330566,False,True,True,False,,False,False
A_seed2026_gen002_top2,Cc1cc(C=NCSCCCCCC(C)(C)C)c(C)[nH]1,A,Random latent GA,group_a_random,2026,2,2,0,3.5558907985687256,0.9573400616645812,3.077220678329468,5.598992347717285,True,True,True,True,,False,False
A_seed2026_gen002_top3,CCN(N)C(=O)CC(=O)n1c(=O)n(-c2ccc(C)c(C)c2)c2cc(Cl)ccc21,A,Random latent GA,group_a_random,2026,2,3,3,3.2046427726745605,0.6754462122917175,2.9665627479553223,6.7271013259887695,False,True,True,False,,False,False
A_seed2026_gen002_top4,COc1ccc(NC=C(N=CC2C(=O)NC3CNC2C3(C)C)C2CC2)cc1,A,Random latent GA,group_a_random,2026,2,4,2,3.38831114768982,0.8550133109092712,2.9608044624328613,6.286275386810303,True,True,True,True,,False,False
A_seed2026_gen002_top5,Cc1cc(C(C)(C)C)ccc1NCCC=NC(=NOCc1ccc(C=O)cc1)c1ccccc1,A,Random latent GA,group_a_random,2026,2,5,1,3.3910531997680664,0.9216166138648988,2.9302449226379395,5.875924587249756,True,True,True,True,,False,False
A_seed2026_gen003_top1,CCCC(=NN(Cc1cccs1)C(=O)CSCN)c1ccc(O)cc1OC,A,Random latent GA,group_a_random,2026,3,1,1,3.700508117675781,0.5427783727645874,3.634896278381348,5.8114914894104,False,True,True,False,,False,False
A_seed2026_gen003_top2,N#CC1c2c3c4n5c2C2(CC(=O)N6N=C4C12C6c1ccc(O)cc1)N3C=C5,A,Random latent GA,group_a_random,2026,3,2,0,3.8601224422454834,0.9607419967651368,3.379751443862915,6.221847057342529,True,True,True,True,,False,False
A_seed2026_gen003_top3,COc1nc(N)nc(-c2c(N)sc3c2C(C(C)(C)C)CCC3)n1,A,Random latent GA,group_a_random,2026,3,3,2,3.6427369117736816,0.9407919645309448,3.1723408699035645,5.492056846618652,True,True,True,True,,False,False
A_seed2026_gen003_top4,CC12CN3CCCC3(C1)C(=O)N2c1nc(C2CC2)cc2occc12,A,Random latent GA,group_a_random,2026,3,4,3,3.583209276199341,0.95410817861557,3.1061551570892334,5.589101314544678,True,True,True,True,,False,False
A_seed2026_gen003_top5,CC=C(C)c1ccc(CO)n1C(=O)c1ccc(C(NC)S(C)(=O)=O)cc1,A,Random latent GA,group_a_random,2026,3,5,5,3.5281550884246826,0.869249701499939,3.0935301780700684,5.546607971191406,True,True,True,True,,False,False
A_seed2026_gen004_top1,O=C1C(O)=C2CC(=NC(=NCO)C3CC3)N1C2c1ccccc1,A,Random latent GA,group_a_random,2026,4,1,7,3.574266195297241,0.4226148128509521,3.664867162704468,5.797874927520752,False,True,True,False,,False,False
A_seed2026_gen004_top2,CC1c2nn3c(=O)c(N4C(=O)CSC4=S)c1n1c4ccccc4c2c31,A,Random latent GA,group_a_random,2026,4,2,4,3.700508117675781,0.5427783727645874,3.634896278381348,5.8114914894104,False,True,True,False,,False,False
A_seed2026_gen004_top3,CC(Oc1ccc(C2=NOC3=C4CN5C6=CC7=CC8=C3OC7C85C24C6)c(O)c1)C(N)=O,A,Random latent GA,group_a_random,2026,4,3,0,3.903498649597168,0.9411475658416748,3.432924747467041,5.955832004547119,True,True,True,True,,False,False
A_seed2026_gen004_top4,N#CC1CC2=C3C4=NN5C(=O)CC6(N2C(O)OC2C7OC89OC7C(O8)C26N39)C41C5c1ccccc1,A,Random latent GA,group_a_random,2026,4,4,1,3.8601224422454834,0.9607419967651368,3.379751443862915,6.221847057342529,True,True,True,True,,False,False
