ID,vina_kcal_mol
FINAL_00001,-7.651
FINAL_00002,-6.758
FINAL_00003,-7.475
FINAL_00004,-8.233
FINAL_00005,-7.36
FINAL_00006,-7.567
FINAL_00007,-6.624
FINAL_00008,-9.422
FINAL_00009,-7.031
FINAL_00010,-5.667
FINAL_00011,-9.424
FINAL_00012,-8.629
FINAL_00013,-7.905
FINAL_00014,-7.549
FINAL_00015,-10.994
FINAL_00016,-7.502
FINAL_00017,-7.199
FINAL_00018,-8.865
FINAL_00019,-8.763
FINAL_00020,-8.526
FINAL_00021,-8.344
FINAL_00022,-7.741
FINAL_00023,-7.713
FINAL_00025,-7.03
FINAL_00026,-7.583
FINAL_00027,-5.989
FINAL_00028,-9.668
FINAL_00029,-9.044
FINAL_00030,-7.247
FINAL_00031,-7.345
FINAL_00032,-7.301
FINAL_00033,-7.499
FINAL_00034,-6.637
FINAL_00035,-7.688
FINAL_00036,-6.716
FINAL_00037,-7.311
FINAL_00038,-6.898
FINAL_00039,-6.53
FINAL_00040,-6.898
FINAL_00041,-6.947
FINAL_00042,-6.899
FINAL_00043,-7.549
FINAL_00044,-7.591
FINAL_00045,-7.013
FINAL_00046,-7.998
FINAL_00047,-6.914
FINAL_00048,-6.744
FINAL_00049,-6.998
FINAL_00050,-6.602
FINAL_00051,-7.997
FINAL_00052,-7.006
FINAL_00053,-6.965
FINAL_00054,-6.645
FINAL_00055,-6.473
FINAL_00056,-7.166
FINAL_00057,-7.08
FINAL_00058,-6.733
FINAL_00059,-7.183
FINAL_00060,-7.818
FINAL_00061,-8.366
FINAL_00062,-7.077
FINAL_00063,-6.257
FINAL_00064,-7.835
FINAL_00065,-6.564
FINAL_00066,-7.35
FINAL_00067,-7.809
FINAL_00068,-8.531
FINAL_00069,-9.16
FINAL_00070,-7.756
FINAL_00071,-9.563
FINAL_00072,-6.675
FINAL_00073,-6.853
FINAL_00075,-8.1
FINAL_00076,-7.666
FINAL_00077,-7.141
FINAL_00078,-7.541
FINAL_00079,-7.897
FINAL_00080,-7.865
FINAL_00081,-7.163
FINAL_00082,-8.609
FINAL_00083,-7.712
FINAL_00084,-9.553
FINAL_00085,-6.468
FINAL_00086,-8.355
FINAL_00087,-8.779
FINAL_00088,-8.232
FINAL_00089,-7.032
FINAL_00090,-7.369
FINAL_00091,-7.055
FINAL_00092,-8.054
FINAL_00093,-7.893
FINAL_00094,-8.006
FINAL_00095,-7.665
FINAL_00096,-7.647
FINAL_00097,-7.659
FINAL_00098,-7.414
FINAL_00099,-7.82
FINAL_00100,-7.156
FINAL_00101,-7.965
FINAL_00102,-8.073
FINAL_00103,-7.448
FINAL_00104,-8.04
FINAL_00105,-6.926
FINAL_00106,-7.223
FINAL_00107,-8.834
FINAL_00108,-6.35
FINAL_00109,-7.99
FINAL_00110,-7.388
FINAL_00111,-7.642
FINAL_00112,-8.625
FINAL_00113,-8.27
FINAL_00114,-9.126
FINAL_00115,-9.103
FINAL_00116,-7.213
FINAL_00117,-8.36
FINAL_00118,-6.794
FINAL_00119,-7.215
FINAL_00120,-7.957
FINAL_00121,-7.692
FINAL_00122,-8.105
