method,generation,mean_gold,sd_gold
A,2,1.0,
A,3,1.0,0.0
A,4,1.0,0.0
A,5,1.5,0.7071067811865476
A,6,1.5,0.7071067811865476
A,7,1.5,0.7071067811865476
A,8,1.0,1.0
A,9,1.6666666666666667,0.5773502691896257
A,10,1.5,0.7071067811865476
A,11,2.0,1.4142135623730951
A,12,1.6666666666666667,0.5773502691896257
B,7,1.0,0.0
B,8,1.0,0.0
B,9,1.0,0.0
B,10,1.5,0.7071067811865476
B,11,1.0,
B,12,1.0,
C,1,1.0,0.0
C,2,1.6,0.5477225575051662
C,3,1.8,0.8366600265340756
C,4,2.4,0.8944271909999159
C,5,2.2,0.44721359549995787
C,6,2.25,1.2583057392117916
C,7,2.2,0.8366600265340756
C,8,1.8,0.8366600265340756
C,9,3.0,1.224744871391589
C,10,2.2,1.3038404810405297
C,11,2.0,0.7071067811865476
C,12,2.8,0.8366600265340756
D,1,1.0,0.0
D,2,1.6,0.5477225575051662
D,3,1.8,0.8366600265340756
D,4,2.2,0.8366600265340756
D,5,2.4,0.8944271909999159
D,6,2.25,0.49999999999999994
D,7,2.2,0.44721359549995787
D,8,1.25,0.5
D,9,1.75,0.9574271077563382
D,10,1.75,0.9574271077563381
D,11,1.2,0.4472135954999579
D,12,1.0,0.816496580927726
