method,seed,generation,endpoint_count,strict_endpoint_count,top10_logsw,mean_p_sweet,mean_ood
A,2028,1,2,0,2.7111925299999995,0.5271987363600001,5.680121080000001
A,2028,2,6,2,2.9323771800000005,0.7628256555866668,5.622069866666666
A,2028,3,17,8,3.0471638199999997,0.7849581847966666,5.67294139
A,2028,4,27,15,3.0452603799999998,0.8808059046666666,5.481874036666667
A,2028,5,30,19,3.12395027,0.9222755353333335,5.26794002
A,2028,6,30,21,3.18484329,0.917237739,5.161089623333334
A,2028,7,30,23,3.22290439,0.9233798263333333,5.15087597
A,2028,8,30,27,3.2723998200000004,0.9462271466666665,5.326361730000001
A,2028,9,29,27,3.34057721,0.9632253956666668,5.2722562333333345
A,2028,10,30,30,3.39584695,0.9786419903333333,5.290720693333332
A,2028,11,30,30,3.4149945100000005,0.9796989656666668,5.2674008699999995
A,2028,12,30,30,3.4427650200000004,0.9773251326666667,5.29973371
C,2029,1,3,1,2.43480525,0.7952009049466667,5.3773244066666654
C,2029,2,8,2,2.72350683,0.9634550433333334,5.764925576666666
C,2029,3,20,5,2.8193538599999997,0.9907383676666668,5.945571936666667
C,2029,4,29,17,2.92817549,0.999778431,5.692528096666665
C,2029,5,29,29,3.07185582,0.9999345336666666,5.14709092
C,2029,6,30,30,3.12649262,0.9999653150000001,4.937156336666666
C,2029,7,30,30,3.17032825,0.9999678456666667,4.942883403333334
C,2029,8,30,30,3.27053092,0.9999693323333332,4.916219019999999
C,2029,9,30,30,3.29231493,0.9999694523333332,4.865644096666668
C,2029,10,30,30,3.32346748,0.9999686386666666,4.863067113333333
C,2029,11,30,30,3.3614007799999994,0.9999695216666666,4.84774567
C,2029,12,30,30,3.39055739,0.9999671920000001,4.86698538
A,2026,1,1,0,2.76579294,0.4547688278133333,5.939043576666667
A,2026,2,4,2,3.1449843399999997,0.6811960139666666,6.077382233333334
A,2026,3,8,4,3.4812939,0.6737674253333334,6.010066866666667
A,2026,4,17,10,3.5788271000000003,0.7041686580000001,5.859436436666666
A,2026,5,12,7,3.62897063,0.6841638716666665,5.7354525233333336
A,2026,6,8,0,3.63115649,0.7063501373333334,5.737530463333333
A,2026,7,13,2,3.6443301499999996,0.7914747836666668,5.71411215
A,2026,8,17,4,3.6710784299999992,0.8133452536666665,5.725922100000001
A,2026,9,22,5,3.69523059,0.8166868726666667,5.747325283333335
A,2026,10,25,8,3.7381271,0.8667338840000001,5.779130796666665
A,2026,11,28,7,3.76402286,0.8608703263333335,5.790182560000001
A,2026,12,28,10,3.7903400399999994,0.875668074,5.776803066666667
D,2028,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
D,2028,2,15,5,2.83412776,0.9622658533333335,5.307111253333334
D,2028,3,28,18,2.95938729,0.9998159166666667,5.256890190000002
D,2028,4,28,27,2.99390567,0.9996856016666666,4.96822193
D,2028,5,30,30,3.08619628,0.9999448776666667,4.546984236666668
D,2028,6,30,30,3.16455498,0.99995917,4.612032689999999
D,2028,7,30,30,3.2101115,0.9999730546666666,4.756704436666667
D,2028,8,30,30,3.23334862,0.999972792,4.804915603333332
D,2028,9,30,30,3.2562545399999996,0.9999720633333333,4.811071886666666
D,2028,10,29,29,3.3064196100000003,0.9998446613333335,4.9645770533333335
D,2028,11,27,27,3.3635912699999997,0.9995444003333332,5.4030339666666665
D,2028,12,30,30,3.3986569,0.9993606973333333,5.905847596666666
B,2029,1,5,0,2.5103434000000004,0.974647905,5.736768249999999
B,2029,2,12,1,2.74123713,0.9539126213333333,6.192762493333333
B,2029,3,27,7,2.81384089,0.9845662486666668,6.492760289999999
B,2029,4,30,15,2.89854847,0.9965408606666667,6.555184969999999
B,2029,5,30,29,2.95725293,0.998077163,6.285732933333334
B,2029,6,30,30,3.02610347,0.9990307823333332,5.897434996666665
B,2029,7,30,30,3.0872987000000003,0.9990803333333332,5.722377249999999
B,2029,8,30,30,3.1042948100000003,0.9989053346666668,5.698927490000001
B,2029,9,30,30,3.1333976800000003,0.9985856576666666,5.738299713333333
B,2029,10,30,30,3.1594779600000003,0.998177394,5.725755183333334
B,2029,11,30,30,3.19847652,0.9981741180000001,5.742724300000002
B,2029,12,30,30,3.2367220899999998,0.9984642216666668,5.766137166666667
B,2027,1,3,1,2.5403646,0.9539882773333334,5.5401804100000005
B,2027,2,6,3,2.8427547600000005,0.8667378192000001,5.871497849999999
B,2027,3,20,12,3.1906334299999997,0.9280193596666669,5.885194093333333
B,2027,4,27,26,3.3134220900000004,0.9686291833333333,6.063931780000001
B,2027,5,30,30,3.5349610899999995,0.9959299283333335,6.057683156666667
B,2027,6,30,30,3.6309800500000002,0.996665662,5.916819576666666
B,2027,7,30,30,3.6884609599999996,0.9972929833333334,5.98541966
B,2027,8,30,30,3.7361691900000005,0.9971236013333333,6.05915511
B,2027,9,30,30,3.7895679,0.9968476973333334,6.082318566666666
B,2027,10,30,30,3.82253677,0.9968927833333334,6.077154526666667
B,2027,11,30,30,3.83288413,0.997030553,6.08002806
B,2027,12,30,30,3.8799008899999996,0.9972291053333336,6.0605748
A,2030,1,2,2,2.9968784499999996,0.4384362335033334,5.624813853333333
A,2030,2,11,8,3.1852976899999996,0.6849343947799997,5.663031366666668
A,2030,3,22,17,3.3181917500000004,0.8747782856666668,5.8607797700000015
A,2030,4,23,18,3.6050031399999996,0.8982617946666667,5.69808587
A,2030,5,22,10,3.9114055999999997,0.8193995163333333,5.11982352
A,2030,6,22,8,3.9876338100000006,0.8445121666666667,5.074973863333335
A,2030,7,26,14,4.021359179999999,0.8775038933333335,5.133637176666667
A,2030,8,28,21,4.03698437,0.9128773036666666,5.274937806666667
A,2030,9,29,27,4.06163684,0.9337434000000001,5.287302123333333
A,2030,10,30,28,4.08283932,0.9441463,5.272738196666666
A,2030,11,30,29,4.10070091,0.9455615256666668,5.295006139999999
A,2030,12,30,27,4.11032933,0.9411217283333333,5.292024323333335
A,2027,1,3,2,2.8251419199999996,0.3581193077666667,5.451162940000001
A,2027,2,7,6,3.00119183,0.70274549387,5.62356231
A,2027,3,14,11,3.0310595,0.9109083986666667,5.796523210000001
A,2027,4,24,22,3.09872646,0.9534654293333334,5.589176526666666
A,2027,5,30,30,3.24596016,0.9967346916666664,5.369648953333333
A,2027,6,30,30,3.377710809999999,0.9966349500000001,5.217156123333333
A,2027,7,30,30,3.43757928,0.9984950329999999,5.271469130000002
A,2027,8,30,30,3.48175532,0.9996560226666668,5.300486746666666
A,2027,9,30,30,3.520490360000001,0.9997002279999999,5.327931000000001
A,2027,10,30,30,3.58005133,0.9997419320000002,5.368839723333332
A,2027,11,30,30,3.61450994,0.99959064,5.40854157
A,2027,12,30,30,3.6474943699999995,0.999308074,5.43903682
D,2029,1,3,1,2.43480525,0.7952009049466667,5.3773244066666654
D,2029,2,8,2,2.72350683,0.9634550433333334,5.764925576666666
D,2029,3,20,5,2.8193538599999997,0.9907383676666668,5.945571936666667
D,2029,4,29,17,2.92817549,0.999778431,5.692528096666665
D,2029,5,29,29,3.07185582,0.9999345336666666,5.14709092
D,2029,6,30,30,3.12649262,0.9999653150000001,4.937156336666666
D,2029,7,30,30,3.17032825,0.9999678456666667,4.942883403333334
D,2029,8,30,30,3.27053092,0.9999693323333332,4.916219019999999
D,2029,9,30,30,3.29231493,0.9999694523333332,4.865644096666668
D,2029,10,29,29,3.3385727700000003,0.999366232,5.012445193333334
D,2029,11,28,28,3.3904909699999997,0.9984410789999999,5.288084183333334
D,2029,12,29,29,3.43900634,0.999115798,5.634394756666665
D,2026,1,3,1,2.43480525,0.7952009049466666,5.377324406666667
D,2026,2,10,4,2.75889556,0.9520953223333334,5.575034996666667
D,2026,3,21,11,2.89189892,0.989859393,5.893922573333334
D,2026,4,28,24,2.94136057,0.9999024963333333,5.558061556666667
D,2026,5,30,30,3.12703185,0.9999651263333333,5.39124205
D,2026,6,30,30,3.1880713400000005,0.9999755123333335,5.232953673333333
D,2026,7,30,30,3.2281096999999996,0.999978209,5.0311884000000004
D,2026,8,30,30,3.26464845,0.999977895,5.009525346666666
D,2026,9,30,30,3.28509812,0.9999783513333333,5.009110833333334
D,2026,10,29,29,3.33500513,0.9999362890000001,5.185986063333333
D,2026,11,30,30,3.3983926,0.9999496836666667,5.269182103333334
D,2026,12,30,30,3.44275207,0.9999110883333333,5.490008509999999
D,2027,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
D,2027,2,7,2,2.70190217,0.8824004706666667,5.948780186666667
D,2027,3,17,6,2.8266702199999996,0.9663310536666666,5.888928966666666
D,2027,4,21,15,2.94319391,0.9945195873333332,5.53775755
D,2027,5,30,28,2.98272218,0.9999212153333333,5.27048325
D,2027,6,30,30,3.00621275,0.999934942,5.220625563333333
D,2027,7,30,30,3.02589415,0.9999351266666667,5.230702646666667
D,2027,8,30,30,3.0593837699999997,0.9999364706666668,5.2290977
D,2027,9,30,30,3.0948035600000003,0.9999390033333333,5.20321708
D,2027,10,30,30,3.17785591,0.9993183680000001,5.278189426666667
D,2027,11,30,30,3.28213703,0.9986326990000001,5.473990860000001
D,2027,12,30,30,3.50828051,0.9963904536666669,6.387131963333332
A,2029,1,4,0,2.90616264,0.5634394677099999,5.498668593333334
A,2029,2,13,0,3.1291876899999997,0.7524824707133332,5.735439166666667
A,2029,3,21,3,3.24941946,0.76488882,5.812214733333333
A,2029,4,24,6,3.29209293,0.7963063803333333,6.012048746666668
A,2029,5,20,10,3.29448312,0.8069541419999999,5.934763736666666
A,2029,6,26,17,3.2880194700000005,0.8946758133333333,5.9856686166666675
A,2029,7,27,19,3.32190752,0.8999275116666667,6.055580863333334
A,2029,8,26,20,3.3614027300000004,0.8964964226666666,6.039685316666667
A,2029,9,27,19,3.39207732,0.8928337386666666,6.024451456666667
A,2029,10,26,10,3.4204036199999996,0.8701044996666668,5.938340209999999
A,2029,11,29,12,3.4453317300000004,0.886101809,5.882931826666665
A,2029,12,29,16,3.46329535,0.890555462,5.95118271
B,2028,1,2,0,2.4510834699999995,0.9692743693333336,5.959793533333334
B,2028,2,7,1,2.63852248,0.9922218976666668,6.237743833333332
B,2028,3,13,1,2.74630036,0.9432107665666666,6.22682378
B,2028,4,24,3,2.79181642,0.996723842,6.28550365
B,2028,5,29,12,2.8612150400000003,0.9972293799999999,6.25588153
B,2028,6,30,23,2.92411204,0.9964586256666668,6.200264613333334
B,2028,7,30,29,2.98661298,0.9964810633333332,6.148288590000001
B,2028,8,30,30,3.0372612800000005,0.9951437876666668,6.14804893
B,2028,9,30,30,3.12458173,0.9941130373333332,6.134344863333333
B,2028,10,30,30,3.17946927,0.991506654,6.1410362266666665
B,2028,11,30,30,3.21780194,0.9885309506666665,6.165010553333333
B,2028,12,30,29,3.3033540500000003,0.9765387863333334,6.212630006666667
D,2030,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
D,2030,2,14,7,2.8651439900000004,0.9573210133333333,5.795999733333334
D,2030,3,27,21,3.00416662,0.9697921453333334,5.581432779999999
D,2030,4,30,30,3.0743714399999997,0.999967452,5.110907549999999
D,2030,5,30,30,3.1124437200000004,0.9999684953333335,5.020297033333333
D,2030,6,30,30,3.1481413999999996,0.999970459,4.9949363333333325
D,2030,7,30,30,3.17818434,0.9999714346666668,5.017126803333334
D,2030,8,30,30,3.19994319,0.9999708336666665,5.0293315566666665
D,2030,9,30,30,3.2241104500000004,0.999969544,5.0564704433333345
D,2030,10,29,29,3.26785498,0.9996172036666666,5.20200032
D,2030,11,26,26,3.3244236099999993,0.998074721,5.54922741
D,2030,12,23,23,3.3719748899999997,0.995031783,6.297588636666666
B,2030,1,1,0,2.50877623,0.9650937460000003,5.813242939999999
B,2030,2,6,1,2.9989005900000003,0.9567692913333334,6.521658913333332
B,2030,3,13,5,3.2701179099999997,0.7774054605333334,6.494676216666665
B,2030,4,14,5,3.2985511099999996,0.8054602676666666,5.9400904699999995
B,2030,5,21,6,3.3349396399999995,0.8382469296666668,5.707687689999999
B,2030,6,22,8,3.3986691900000006,0.8491243793333335,5.702214193333333
B,2030,7,22,11,3.4490254400000007,0.8514614203333334,5.67865823
B,2030,8,25,20,3.4865312599999996,0.9184623650000001,5.641793626666666
B,2030,9,30,30,3.5406713099999996,0.9750844086666668,5.58959075
B,2030,10,30,29,3.5720813899999997,0.9772407646666668,5.571881676666666
B,2030,11,30,29,3.59458039,0.9890610919999999,5.58854886
B,2030,12,30,30,3.6400373099999994,0.9944945460000001,5.616155366666664
C,2028,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
C,2028,2,15,5,2.83412776,0.9622658533333335,5.307111253333334
C,2028,3,28,18,2.95938729,0.9998159166666667,5.256890190000002
C,2028,4,28,27,2.99390567,0.9996856016666666,4.96822193
C,2028,5,30,30,3.08619628,0.9999448776666667,4.546984236666668
C,2028,6,30,30,3.16455498,0.99995917,4.612032689999999
C,2028,7,30,30,3.2101115,0.9999730546666666,4.756704436666667
C,2028,8,30,30,3.23334862,0.999972792,4.804915603333332
C,2028,9,30,30,3.2562545399999996,0.9999720633333333,4.811071886666666
C,2028,10,30,30,3.2879150600000004,0.9999720006666667,4.806154276666667
C,2028,11,30,30,3.3237925099999996,0.9999698026666667,4.8133807966666655
C,2028,12,30,30,3.3543916700000005,0.9999669496666669,4.85766655
C,2026,1,3,1,2.43480525,0.7952009049466666,5.377324406666667
C,2026,2,10,4,2.75889556,0.9520953223333334,5.575034996666667
C,2026,3,21,11,2.89189892,0.989859393,5.893922573333334
C,2026,4,28,24,2.94136057,0.9999024963333333,5.558061556666667
C,2026,5,30,30,3.12703185,0.9999651263333333,5.39124205
C,2026,6,30,30,3.1880713400000005,0.9999755123333335,5.232953673333333
C,2026,7,30,30,3.2281096999999996,0.999978209,5.0311884000000004
C,2026,8,30,30,3.26464845,0.999977895,5.009525346666666
C,2026,9,30,30,3.28509812,0.9999783513333333,5.009110833333334
C,2026,10,30,30,3.3145496700000003,0.9999783573333334,5.041757803333334
C,2026,11,30,30,3.3502477199999996,0.9999777456666668,5.068303863333333
C,2026,12,30,30,3.3866245800000003,0.9999751749999999,5.0719797233333335
B,2026,1,2,0,2.1731576099999996,0.9526358113333334,5.288276736666669
B,2026,2,7,2,2.64106776,0.955548851,6.157632686666665
B,2026,3,21,7,2.81915863,0.9883614180000001,6.3968428600000005
B,2026,4,29,17,2.86702992,0.9996491279999999,6.0386513666666675
B,2026,5,30,27,2.93860809,0.9998392933333331,5.7973631233333345
B,2026,6,30,29,2.99835335,0.9998391673333333,5.856375773333334
B,2026,7,30,30,3.0515639299999995,0.9998006246666666,5.899947963333335
B,2026,8,30,30,3.0894603700000003,0.9998037446666665,5.945527409999999
B,2026,9,30,30,3.16333582,0.9998517993333332,5.914100996666668
B,2026,10,30,30,3.2134971200000004,0.9998405406666665,5.954051243333334
B,2026,11,30,30,3.2468088899999996,0.9998355556666666,5.983782436666667
B,2026,12,30,30,3.2822860500000006,0.9998208546666667,5.965129433333334
C,2030,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
C,2030,2,14,7,2.8651439900000004,0.9573210133333333,5.795999733333334
C,2030,3,27,21,3.00416662,0.9697921453333334,5.581432779999999
C,2030,4,30,30,3.0743714399999997,0.999967452,5.110907549999999
C,2030,5,30,30,3.1124437200000004,0.9999684953333335,5.020297033333333
C,2030,6,30,30,3.1481413999999996,0.999970459,4.9949363333333325
C,2030,7,30,30,3.17818434,0.9999714346666668,5.017126803333334
C,2030,8,30,30,3.19994319,0.9999708336666665,5.0293315566666665
C,2030,9,30,30,3.2241104500000004,0.999969544,5.0564704433333345
C,2030,10,30,30,3.2442784000000002,0.9999691716666665,5.057530553333334
C,2030,11,30,30,3.26200921,0.999969447,5.0703405933333325
C,2030,12,30,30,3.29065169,0.9999688553333335,5.050502723333335
C,2027,1,3,1,2.43480525,0.7952009049466665,5.377324406666667
C,2027,2,7,2,2.70190217,0.8824004706666667,5.948780186666667
C,2027,3,17,6,2.8266702199999996,0.9663310536666666,5.888928966666666
C,2027,4,21,15,2.94319391,0.9945195873333332,5.53775755
C,2027,5,30,28,2.98272218,0.9999212153333333,5.27048325
C,2027,6,30,30,3.00621275,0.999934942,5.220625563333333
C,2027,7,30,30,3.02589415,0.9999351266666667,5.230702646666667
C,2027,8,30,30,3.0593837699999997,0.9999364706666668,5.2290977
C,2027,9,30,30,3.0948035600000003,0.9999390033333333,5.20321708
C,2027,10,30,30,3.11648097,0.999940188,5.153684123333333
C,2027,11,30,30,3.13272393,0.9999409096666667,5.143518253333334
C,2027,12,30,30,3.15720067,0.9999467013333334,5.116772573333333
