method,seed,generation,latent_pairwise_distance,latent_dim_std
A,2028,1,9.934264336509266,0.9207087755203247
A,2028,2,8.595040188233058,0.8023256659507751
A,2028,3,7.388749407146169,0.7100726366043091
A,2028,4,5.189858282434529,0.49977022409439087
A,2028,5,3.3009044008693476,0.32644811272621155
A,2028,6,1.8979438314150119,0.18035666644573212
A,2028,7,1.7933139681816102,0.16987207531929016
A,2028,8,2.4703148048499535,0.2151099145412445
A,2028,9,1.7484034801351613,0.16022168099880219
A,2028,10,1.5731025082284007,0.14419002830982208
A,2028,11,1.3188723378482907,0.12202060222625732
A,2028,12,1.3238835406029361,0.1221899464726448
C,2029,1,8.950172990492021,0.8302379250526428
C,2029,2,8.515817926498665,0.8007950186729431
C,2029,3,7.9451724797487255,0.7518216371536255
C,2029,4,6.730459564239129,0.6549282670021057
C,2029,5,3.204576781563375,0.3188326060771942
C,2029,6,1.8496511321643303,0.17393597960472107
C,2029,7,1.610184687170489,0.15017835795879364
C,2029,8,1.6137265193736416,0.15034763514995575
C,2029,9,1.3832220010031229,0.13206949830055237
C,2029,10,1.3331989169120788,0.12388701736927032
C,2029,11,1.2777337981709118,0.11676155030727386
C,2029,12,1.2345019686838676,0.10975431650876999
A,2026,1,10.15544041052632,0.943658709526062
A,2026,2,10.005418461835248,0.9512514472007751
A,2026,3,7.657882721122654,0.7345789670944214
A,2026,4,4.868478351762925,0.47476890683174133
A,2026,5,3.217250131670086,0.30745697021484375
A,2026,6,1.90208495166795,0.18650643527507782
A,2026,7,1.2182270748005517,0.11384476721286774
A,2026,8,0.9741110642751057,0.08657229691743851
A,2026,9,1.0251370683483694,0.09018819034099579
A,2026,10,1.1376522960333988,0.10039395838975906
A,2026,11,1.1588899384969953,0.10195308178663254
A,2026,12,1.199721244696913,0.10620413720607758
D,2028,1,8.950172990492021,0.8302379250526428
D,2028,2,8.044750884997434,0.7602545619010925
D,2028,3,6.297400156999457,0.6281906962394714
D,2028,4,3.1644599441995567,0.36264505982398987
D,2028,5,2.1653545709862105,0.21027681231498718
