method,generation,mean,std
A,1,9.4,3.2093613071762426
A,2,21.4,1.5165750888103104
A,3,25.8,2.4899799195977463
A,4,27.2,4.207136793592526
A,5,27.2,4.207136793592525
A,6,28.8,2.6832815729997477
A,7,29.8,0.44721359549995765
A,8,30.0,0.0
A,9,29.6,0.8944271909999161
A,10,30.0,0.0
A,11,30.0,0.0
A,12,30.0,0.0
B,1,8.0,2.82842712474619
B,2,20.2,5.215361924162119
B,3,27.4,4.33589667773576
B,4,29.6,0.8944271909999163
B,5,30.0,0.0
B,6,30.0,0.0
B,7,30.0,0.0
B,8,30.0,0.0
B,9,30.0,0.0
B,10,30.0,0.0
B,11,30.0,0.0
B,12,30.0,0.0
C,1,9.0,0.0
C,2,22.6,2.7018512172212596
C,3,29.2,0.8366600265340753
C,4,30.0,0.0
C,5,30.0,0.0
C,6,30.0,0.0
C,7,30.0,0.0
C,8,30.0,0.0
C,9,30.0,0.0
C,10,30.0,0.0
C,11,30.0,0.0
C,12,30.0,0.0
D,1,9.0,0.0
D,2,22.6,2.7018512172212596
D,3,29.2,0.8366600265340753
D,4,30.0,0.0
D,5,30.0,0.0
D,6,30.0,0.0
D,7,30.0,0.0
D,8,30.0,0.0
D,9,30.0,0.0
D,10,29.4,0.5477225575051664
D,11,28.6,1.3416407864998738
D,12,29.2,1.3038404810405295
