method,generation,mean,std
A,1,2.722094106674194,0.12571264080380903
A,2,3.020836019515991,0.15766534077497815
A,3,3.133301115036011,0.1445479768765733
A,4,3.2953077793121337,0.24928007388720327
A,5,3.41839542388916,0.3198508149761453
A,6,3.4862085342407227,0.32099680643319806
A,7,3.523045063018799,0.31711340218674205
A,8,3.5554571628570555,0.30582895401849336
A,9,3.596158504486084,0.2925484648952585
A,10,3.6394709587097167,0.28176033650691934
A,11,3.6622355461120604,0.2806809457570595
A,12,3.686384582519531,0.27481214565094303
B,1,2.422187900543213,0.15040645919372403
B,2,2.7682655334472654,0.1506188588927756
B,3,2.953207588195801,0.23698537607462275
B,4,3.032377243041992,0.24951316049600109
B,5,3.119394588470459,0.2884218823627937
B,6,3.1885529518127442,0.29947596496571594
B,7,3.2492624282836915,0.3003029073672892
B,8,3.289298248291016,0.30556533788619933
B,9,3.3503108501434324,0.300893861911405
B,10,3.3894124031066895,0.29532034169243787
B,11,3.4177416801452636,0.28305415772485865
B,12,3.4676971435546875,0.28089877396716156
C,1,2.4085917472839355,0.0
C,2,2.776715135574341,0.07046553281952522
C,3,2.9002954006195067,0.08112299370505624
C,4,2.976201391220093,0.060333855661379505
C,5,3.076050043106079,0.05646735076850858
C,6,3.1266946315765383,0.07102187837884562
C,7,3.162525510787964,0.0799060302798565
C,8,3.205570840835571,0.08643481527827322
C,9,3.2305163860321047,0.08049801371757836
C,10,3.2573383808135987,0.08454658316956745
C,11,3.286034679412842,0.0939553164212576
C,12,3.3158851146697996,0.09731420776924792
D,1,2.4085917472839355,0.0
D,2,2.776715135574341,0.07046553281952522
D,3,2.9002954006195067,0.08112299370505624
D,4,2.976201391220093,0.060333855661379505
D,5,3.076050043106079,0.05646735076850858
D,6,3.1266946315765383,0.07102187837884562
D,7,3.162525510787964,0.0799060302798565
D,8,3.205570840835571,0.08643481527827322
D,9,3.2305163860321047,0.08049801371757836
D,10,3.285141706466675,0.06633823329695977
D,11,3.3517312526702883,0.048425447899506036
D,12,3.4320777893066405,0.051797846553961066
