method,fitness_mode,seed,unique_reliable_count,validity,unique_smiles_ratio,internal_diversity,mean_p_sweet_reliable,mean_logsw_reliable,mean_ood_reliable,mean_docking_reliable,runtime_sec
Docking predictor only,docking_surrogate,2026,0,1.0,0.9,0.7106983118083434,,,,,87.75961542129517
Docking predictor only,docking_surrogate,2027,0,1.0,0.9666666666666667,0.8381769763286231,,,,,123.45231699943542
Docking predictor only,docking_surrogate,2028,0,1.0,0.9333333333333333,0.7284122902651393,,,,,155.27307868003845
Docking predictor only,docking_surrogate,2029,0,1.0,0.9,0.8005017182686318,,,,,121.68677592277527
Docking predictor only,docking_surrogate,2030,0,1.0,0.8,0.7157829105400493,,,,,101.42388463020325
Gate + docking predictor,gated_docking,2026,0,1.0,0.6,0.6400651279066063,,,,,99.2189290523529
Gate + docking predictor,gated_docking,2027,2,1.0,1.0,0.846761135292244,0.9611037373542786,2.840457320213318,6.567349910736084,9.032587051391602,101.96941113471985
Gate + docking predictor,gated_docking,2028,0,1.0,0.8666666666666667,0.680983981291609,,,,,97.28038215637207
Gate + docking predictor,gated_docking,2029,0,1.0,0.8333333333333334,0.69012096353897,,,,,104.3536639213562
Gate + docking predictor,gated_docking,2030,0,1.0,0.8,0.7157829105400493,,,,,103.53350472450256
Gate + sweet predictor,gated,2026,0,1.0,0.06666666666666667,0.05363984674329514,,,,,53.19649052619934
Gate + sweet predictor,gated,2027,0,1.0,0.26666666666666666,0.40195209680140265,,,,,81.9787802696228
Gate + sweet predictor,gated,2028,3,1.0,0.3,0.4227208326615324,0.9999550580978394,2.891942834854126,5.481583976745606,7.764389610290527,75.93900847434998
Gate + sweet predictor,gated,2029,0,1.0,0.03333333333333333,0.0,,,,,63.90083050727844
Gate + sweet predictor,gated,2030,2,1.0,0.26666666666666666,0.3684744634846032,0.9999056259791056,2.8666983445485434,5.705055554707845,8.267358462015787,76.98791241645813
Sweet predictor only,direct_regressor,2026,0,1.0,0.06666666666666667,0.05363984674329514,,,,,55.34175181388855
Sweet predictor only,direct_regressor,2027,0,1.0,0.26666666666666666,0.40195209680140265,,,,,94.85829043388367
Sweet predictor only,direct_regressor,2028,1,1.0,0.26666666666666666,0.34232338547981367,0.9999836683273317,3.274869441986084,5.401502132415772,7.7381911277771,66.60904788970947
Sweet predictor only,direct_regressor,2029,1,1.0,0.6666666666666666,0.6418114399614626,0.999935746192932,2.9610438346862797,6.152619361877441,9.104166030883787,88.04017925262451
Sweet predictor only,direct_regressor,2030,2,1.0,0.26666666666666666,0.3684744634846032,0.9999056259791056,2.8666983445485434,5.7050557136535645,8.267358462015787,67.11948251724243
