method,seed,n_evaluated,primary_high_sweet,secondary_real_vina_le_threshold,gold_success_both,mean_real_vina,best_real_vina
Docking-only,2026,10,0,9,0,-8.0776,-9.12
Docking-only,2027,10,0,10,0,-8.447899999999999,-9.243
Docking-only,2028,10,0,10,0,-8.2001,-8.801
Docking-only,2029,10,0,10,0,-8.255700000000001,-9.191
Docking-only,2030,10,0,10,0,-8.4006,-8.844
Gate+Docking,2026,10,0,9,0,-7.7928,-9.053
Gate+Docking,2027,10,2,10,2,-7.7717,-8.59
Gate+Docking,2028,10,0,9,0,-8.053500000000001,-8.757
Gate+Docking,2029,10,0,10,0,-7.785900000000001,-8.478
Gate+Docking,2030,10,0,8,0,-8.0883,-9.238
Gate+Sweet,2026,2,0,1,0,-6.9719999999999995,-7.308
Gate+Sweet,2027,8,0,8,0,-7.536,-8.161
Gate+Sweet,2028,9,3,4,2,-6.936555555555556,-7.955
Gate+Sweet,2029,1,0,1,0,-8.478,-8.478
Gate+Sweet,2030,8,2,6,1,-7.3248750000000005,-8.417
Sweet-only,2026,2,0,1,0,-6.9595,-7.329
Sweet-only,2027,8,0,7,0,-7.366375,-8.18
Sweet-only,2028,8,1,4,0,-7.3495,-8.425
Sweet-only,2029,10,1,8,1,-7.666999999999999,-8.892
Sweet-only,2030,8,2,5,1,-7.169625,-7.559
