ID,smiles,method,fitness_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,high_sweet
Docking_only_seed2026_top1,COc1ccc(C2OC3OC2(OC2OC(CO)C(O)C(O)C2O)C(O)C3O)cc1Cl,Docking-only,docking_surrogate,2026,1,0.9990071654319764,2.628480911254883,5.951434135437012,False
Docking_only_seed2026_top2,CCOC1(OCC2OC(O)C(O)C3OC4(OC(CO)C(O)C(O)C4O)OC23)OC2COC1C(O)C2Cl,Docking-only,docking_surrogate,2026,2,0.9998804330825806,2.365874767303467,7.01226806640625,False
Docking_only_seed2026_top3,CCC1=C2C3OC4(C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)N2c2cccc(Cl)c2N14,Docking-only,docking_surrogate,2026,3,0.829188883304596,2.2332613468170166,6.368983745574951,False
Docking_only_seed2026_top4,COC(=O)C1(C(O)(O)OC2OC(CO)C(O)C(O)C2O)CC(=O)CC1c1ccc(Cl)cc1,Docking-only,docking_surrogate,2026,4,0.9999467134475708,1.964671850204468,6.966787815093994,False
Docking_only_seed2026_top5,COC(=O)C12C(O)C3OC1(OC1OC(CO)C(O)C(O)C1O)OC3(O)C2Cl,Docking-only,docking_surrogate,2026,5,0.9998493194580078,1.943113684654236,8.360379219055176,False
Docking_only_seed2026_top6,OCC1OC2OC(O)(C(O)C3=Nc4cccc(c4Cl)O3)COC2C(O)C1O,Docking-only,docking_surrogate,2026,6,0.9998782873153688,1.9236568212509155,6.217439651489258,False
Docking_only_seed2026_top7,CC1OC(=O)C2(CC3=C=C2CO3)C2OC3(OC(CO)C(O)C(O)C3O)OC12,Docking-only,docking_surrogate,2026,7,0.3173337876796722,1.8132232427597048,7.577316284179687,False
Docking_only_seed2026_top8,O=C1C2=C3CC(O)=C1N3C1COc3c(ccc(Cl)c3OC3OC(CO)C(O)C(O)C3O)C21,Docking-only,docking_surrogate,2026,8,0.0015864160377532,1.805177330970764,7.252078056335449,False
Docking_only_seed2026_top9,COC(=O)C1C(O)C(O)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,Docking-only,docking_surrogate,2026,9,0.9739104509353638,1.7946866750717163,6.762163639068604,False
Docking_only_seed2026_top10,COC(=O)C1(O)CC(CCO)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,Docking-only,docking_surrogate,2026,10,0.9999184608459472,1.7385069131851196,6.52185583114624,False
Docking_only_seed2027_top1,O=C(OC12OCC=C(CC(O)C1O)O2)C(=CCc1ccccc1)c1ccccc1Cl,Docking-only,docking_surrogate,2027,1,0.2836613059043884,2.9122064113616943,6.461333274841309,False
Docking_only_seed2027_top2,O=C(OC12OCC=C(CC(O)C1O)O2)C(=CCc1cccc(Cl)c1)c1ccccc1,Docking-only,docking_surrogate,2027,2,0.0399657636880874,2.884262561798096,6.435484409332275,False
Docking_only_seed2027_top3,Nc1ccc2oc(C3OC(O)C(O)C3O)c(COC(=O)Cc3csc(N)n3)c2c1,Docking-only,docking_surrogate,2027,3,0.9891865849494934,2.7719545364379883,6.7544264793396,False
Docking_only_seed2027_top4,O=C(OC12OCCC(O)(CCO1)C2O)C(=CCc1cccc(Cl)c1)c1ccccc1,Docking-only,docking_surrogate,2027,4,0.735227644443512,2.6752443313598637,7.418811798095703,False
Docking_only_seed2027_top5,CCc1c2c(c3c(=O)n1-c1cc(Cl)ccc1-3)OC13OCC(O1)C2(O)C3O,Docking-only,docking_surrogate,2027,5,0.000717346149031,2.622792959213257,8.37696647644043,False
Docking_only_seed2027_top6,CCOc1ccc(C(C=O)=CC(=O)OC23OCC(O2)C(O)C3O)c(Cl)c1,Docking-only,docking_surrogate,2027,6,0.048538438975811,2.619524478912353,7.381207466125488,False
Docking_only_seed2027_top7,COc1ccc2cc1OC(C)=C2CCc1c2cccc1OC1(O2)OC(Oc2ccccc2)CC(O)C1O,Docking-only,docking_surrogate,2027,7,0.9647733569145204,2.5869297981262207,6.563730716705322,False
Docking_only_seed2027_top8,CCC(O)C(O)C1Oc2cc(C=C(C)C(N)=O)c(-c3cc(C(C)=O)ccc3O)cc2O1,Docking-only,docking_surrogate,2027,8,0.0840242430567741,2.586735486984253,7.553215026855469,False
Docking_only_seed2027_top9,CCCOc1cccc(OC2OC34OC5=C(c6ccccc6)CCC=C5C(O)(C2O3)C4O)c1,Docking-only,docking_surrogate,2027,9,0.9994133710861206,2.537884473800659,7.625021457672119,False
