generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.27634239196777344,7.623751640319824,9.299211502075195,9.299211502075195,8.884777069091797,1.884840488433838,1.884840488433838,1.8402456045150757,1.8402456045150757,2.0396695137023926,0.8013492226600647,0.9980766773223877,5.248062610626221,5.902712821960449,7.623751640319824,9.299211502075195,2.159276247024536,2.3392839431762695,0,0.0,0
2,60,0.33706212043762207,8.839908599853516,9.431245803833008,9.431245803833008,9.311053276062012,2.0375189781188965,2.0375189781188965,2.536355972290039,2.536355972290039,2.145841360092163,0.8661466240882874,0.9997571110725403,5.732737064361572,5.914039134979248,8.839908599853516,9.431245803833008,2.392407178878784,3.0362346172332764,0,0.0,0
3,90,0.3924987316131592,9.306695938110352,9.865792274475098,9.865792274475098,9.465232849121094,2.2671585083007812,2.2671585083007812,2.0750575065612793,2.536355972290039,2.2545509338378906,0.9069983959197998,0.9999663829803467,6.2567267417907715,5.312035083770752,9.306695938110352,9.865792274475098,2.677722215652466,2.575040817260742,0,0.0,0
4,120,0.46164464950561523,9.473422050476074,9.970781326293945,9.970781326293945,9.690457344055176,2.2444381713867188,2.2444381713867188,2.2749099731445312,2.536355972290039,2.314542531967163,0.9131942391395569,0.9999580383300781,6.015491008758545,5.296839237213135,9.473422050476074,9.970781326293945,2.651545286178589,2.7748889923095703,0,0.0,0
5,150,0.5281295776367188,9.7196683883667,10.016521453857422,10.016521453857422,9.93803882598877,2.329942464828491,2.329942464828491,2.242201566696167,2.536355972290039,2.1483235359191895,0.9974661469459534,0.9999630451202393,5.5670881271362305,5.311355113983154,9.7196683883667,10.016521453857422,2.8286757469177246,2.742183208465576,0,0.0,0
6,180,0.5988824367523193,9.913019180297852,10.123574256896973,10.123574256896973,10.045483589172363,2.1782734394073486,2.1782734394073486,1.9282848834991455,2.536355972290039,2.215707778930664,0.999734103679657,0.9999370574951172,5.376670837402344,5.371108055114746,9.913019180297852,10.123574256896973,2.678140163421631,2.428253412246704,0,0.0,0
7,210,0.6643364429473877,10.022599220275879,10.230359077453613,10.230359077453613,10.129164695739746,2.212256908416748,2.212256908416748,2.2553927898406982,2.536355972290039,2.2321224212646484,0.9999399185180664,0.9999735355377197,5.377892017364502,5.343552589416504,10.022599220275879,10.230359077453613,2.712226629257202,2.7553796768188477,0,0.0,0
8,240,0.7314038276672363,10.1064453125,10.321578025817871,10.321578025817871,10.225263595581055,2.2118613719940186,2.2118613719940186,2.2989954948425293,2.536355972290039,2.176727771759033,0.99993896484375,0.9999748468399048,5.376554489135742,5.355353832244873,10.1064453125,10.321578025817871,2.7118308544158936,2.798982858657837,0,0.0,0
9,270,0.7963409423828125,10.185226440429688,10.3395357131958,10.3395357131958,10.276009559631348,2.2108144760131836,2.2108144760131836,2.333556652069092,2.536355972290039,2.2824320793151855,0.9999441504478455,0.9999754428863525,5.372684001922607,5.389953136444092,10.185226440429688,10.3395357131958,2.7107863426208496,2.8335442543029785,0,0.0,0
10,300,0.8590576648712158,10.221325874328613,10.474822044372559,10.474822044372559,10.320467948913574,2.2526838779449463,2.2526838779449463,2.3649535179138184,2.536355972290039,2.2920284271240234,0.99995356798172,0.9999687671661377,5.3617658615112305,5.431001663208008,10.221325874328613,10.474822044372559,2.752660036087036,2.8649377822875977,0,0.0,0
11,330,0.920013427734375,10.297928810119629,10.474822044372559,10.474822044372559,10.38186264038086,2.296074628829956,2.296074628829956,2.3649535179138184,2.536355972290039,2.298022747039795,0.9999629855155945,0.9999687671661377,5.3808512687683105,5.431001663208008,10.297928810119629,10.474822044372559,2.796056032180786,2.8649377822875977,0,0.0,1
12,360,0.9863615036010742,10.374731063842773,10.608115196228027,10.608115196228027,10.483081817626953,2.2929012775421143,2.2929012775421143,2.398965358734131,2.536355972290039,2.344451904296875,0.9999685883522034,0.9999581575393677,5.384609699249268,5.579220771789551,10.374731063842773,10.608115196228027,2.7928857803344727,2.89894437789917,0,0.0,0
