generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.26169347763061523,7.623751640319824,9.299211502075195,9.299211502075195,8.884777069091797,1.884840488433838,1.884840488433838,1.8402456045150757,1.8402456045150757,2.0396695137023926,0.8013492822647095,0.9980766773223877,5.248062610626221,5.902712821960449,7.623751640319824,9.299211502075195,2.1592764854431152,2.3392839431762695,0,0.0,0
2,60,0.32204484939575195,8.60412311553955,9.423998832702637,9.423998832702637,9.288261413574219,2.2402970790863037,2.2402970790863037,1.8274608850479126,1.8402456045150757,2.2205841541290283,0.863524317741394,0.99796462059021,5.799993515014648,5.880233287811279,8.60412311553955,9.423998832702637,2.590388774871826,2.3264431953430176,0,0.0,0
3,90,0.37744712829589844,9.13845443725586,9.472963333129883,9.472963333129883,9.386110305786133,2.2897255420684814,2.2897255420684814,1.9685109853744507,1.9685109853744507,2.1479668617248535,0.8341479897499084,0.9980548620223999,6.23115873336792,5.950421333312988,9.13845443725586,9.472963333129883,2.6091017723083496,2.467538356781006,0,0.0,0
4,120,0.4437088966369629,9.488393783569336,10.028629302978516,10.028629302978516,9.696218490600586,2.172194719314575,2.172194719314575,2.3594584465026855,2.3594584465026855,2.2631871700286865,0.9293583631515503,0.9970644116401672,6.190933704376221,5.820064067840576,9.488393783569336,10.028629302978516,2.5996410846710205,2.8579907417297363,0,0.0,0
5,150,0.5088701248168945,9.636855125427246,10.037897109985352,10.037897109985352,9.842666625976562,2.2994015216827393,2.2994015216827393,2.346238374710083,2.3594584465026855,2.353792905807495,0.9629840850830078,0.9972660541534424,6.107598781585693,5.859838485717773,9.636855125427246,10.037897109985352,2.77209210395813,2.8448715209960938,0,0.0,0
6,180,0.5721437931060791,9.826383590698242,10.260290145874023,10.260290145874023,10.054964065551758,2.4017980098724365,2.4017980098724365,2.32309627532959,2.3594584465026855,2.373699426651001,0.968529462814331,0.9864411950111389,6.018160820007324,5.9526872634887695,9.826383590698242,10.260290145874023,2.8794960975646973,2.816316843032837,0,0.0,0
7,210,0.637035608291626,10.059039115905762,10.463459968566895,10.463459968566895,10.242149353027344,2.3792731761932373,2.3792731761932373,2.365173816680908,2.365173816680908,2.355881690979004,0.9868307709693909,0.9855798482894897,5.957701683044434,5.886263370513916,10.059039115905762,10.463459968566895,2.872229814529419,2.857963800430298,0,0.0,0
8,240,0.6903934478759766,10.218466758728027,10.463459968566895,10.463459968566895,10.372501373291016,2.319194793701172,2.319194793701172,2.365173816680908,2.365173816680908,2.3380844593048096,0.9922202229499817,0.9855798482894897,5.865408420562744,5.886263370513916,10.218466758728027,10.463459968566895,2.8153042793273926,2.857963800430298,0,0.0,1
9,270,0.7531914710998535,10.350316047668457,10.580687522888184,10.580687522888184,10.462526321411133,2.333810329437256,2.333810329437256,2.3247852325439453,2.365173816680908,2.354421615600586,0.9924702048301697,0.9961121678352356,5.864789962768555,5.664814472198486,10.350316047668457,10.580687522888184,2.830045223236084,2.8228414058685303,0,0.0,0
10,300,0.8115122318267822,10.437996864318848,10.688923835754395,10.688923835754395,10.55821418762207,2.32043194770813,2.32043194770813,2.27421236038208,2.365173816680908,2.326287269592285,0.993519127368927,0.9958726763725281,5.802939414978027,5.6736273765563965,10.437996864318848,10.688923835754395,2.8171916007995605,2.772148609161377,0,0.0,0
11,330,0.8664283752441406,10.521928787231445,10.702546119689941,10.702546119689941,10.655963897705078,2.3222548961639404,2.3222548961639404,2.3008060455322266,2.365173816680908,2.314329147338867,0.9934966564178467,0.9964879751205444,5.745871543884277,5.682060718536377,10.521928787231445,10.702546119689941,2.8190035820007324,2.7990500926971436,0,0.0,0
12,360,0.9315354824066162,10.646346092224121,10.810508728027344,10.810508728027344,10.74979019165039,2.3089051246643066,2.3089051246643066,2.264756441116333,2.365173816680908,2.3023924827575684,0.994696855545044,0.9927160143852234,5.693769931793213,5.710615158081055,10.646346092224121,10.810508728027344,2.8062539100646973,2.7611143589019775,0,0.0,0
