generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success,source_type,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,docking_score_reencoded,docking_score_std_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,,8,CC(O)(O)C(O)C1=Nc2ccc(OC3OC(CO)C(O)C(O)C3O)c(c2Cl)O1,True,11.029853820800781,0.9999575614929199,2.503290891647339,2.503290891647339,0.1831088811159134,2.503290891647339,5.530913352966309,0.0,10.529874801635742,0.6091334819793701,3.003269672393799,,ga_mutation_crossover,CC(O)(O)C(O)C1=Nc2ccc(OC3OC(CO)C(O)C(O)C3O)c(c2Cl)O1,True,1.0,pass,,421.78600000000006,181.65999999999997,7.0,11.0,18.0,-1.9972000000000005,5.0,3.0,28.0,12.0,0.21428571428571427,1.0,True,ok,0.9999536275863647,1.295150637626648,1.295150637626648,0.46810993552207947,1.295150637626648,6.723512172698975,0.5702985525131226,11.078865051269531,0.38462090492248535,11.578842163085938,0.0,not_used,,11.578842163085938,False,pred_logsw_reencoded_low,1.0
final,,14,COC(=O)C12C(O)C3OC1(OC1OC(CO)C(O)C(O)C1O)OC3(O)C2Cl,True,10.954089164733887,0.999971866607666,2.440599203109741,2.440599203109741,0.22323575615882874,2.440599203109741,5.682601451873779,0.0,10.454103469848633,0.5917353630065918,2.940585136413574,,ga_mutation_crossover,COC(=O)C12C(O)C3OC1(OC1OC(CO)C(O)C(O)C1O)OC3(O)C2Cl,True,0.88,pass,,414.74700000000007,184.6,6.0,12.0,18.0,-4.284399999999996,4.0,5.0,27.0,13.0,0.0,1.0,True,ok,0.9997448325157166,2.3609747886657715,2.3609747886657715,0.20091210305690765,2.3609747886657715,7.509670257568359,1.2432745695114136,11.064338684082031,0.6762158870697021,11.54454517364502,0.0,not_used,,11.484545173645019,False,pred_logsw_reencoded_low;d_ood_reencoded_high,2.0
final,,7,COC(=O)C1(O)CC(CCO)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,True,11.110527992248535,0.9999655485153198,2.4311532974243164,2.4311532974243164,0.22703242301940918,2.4311532974243164,5.603237152099609,0.0,10.61054515838623,0.48967188596725464,2.931136131286621,,ga_mutation_crossover,COC(=O)C1(O)CC(CCO)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,True,0.88,pass,,402.7800000000001,175.37,6.0,11.0,17.0,-3.2290999999999985,6.0,2.0,26.0,12.0,0.0,1.0,True,ok,0.9964313507080078,2.421109437942505,2.421109437942505,0.2144109457731247,2.421109437942505,6.0486931800842285,0.0,10.640835762023926,0.6440732479095459,11.13905143737793,0.0,not_used,,11.07905143737793,False,pred_logsw_reencoded_low,4.0
final,,3,COC(=O)C12Oc3c(Cl)ccc(c3OC1OC1OC(CO)C(O)C(O)C1O)C2CC(C)=O,True,11.06962776184082,0.9999635219573975,2.419105052947998,2.419105052947998,0.21040202677249908,2.419105052947998,5.842693328857422,0.0,10.569645881652832,0.4968535900115967,2.9190869331359863,,ga_mutation_crossover,COC(=O)C12Oc3c(Cl)ccc(c3OC1OC1OC(CO)C(O)C(O)C1O)C2CC(C)=O,True,1.0,pass,,474.84600000000023,161.21,4.0,11.0,15.0,-0.7581000000000009,6.0,5.0,32.0,12.0,0.1875,1.0,True,ok,0.9999597072601318,2.0265491008758545,2.0265491008758545,0.248369038105011,2.0265491008758545,6.8366570472717285,0.6671541333198547,10.430152893066406,0.3457011878490448,10.930132865905762,0.0,not_used,,10.930132865905762,False,pred_logsw_reencoded_low,5.0
final,,19,COc1ccc(C(O)(O)C(O)CO)cc1OC1OC(CO)C(O)C(O)C1O,True,11.073373794555664,0.9999456405639648,2.458376169204712,2.458376169204712,0.1618788242340088,2.458376169204712,5.607051372528076,0.0,10.573400497436523,0.5701228380203247,2.9583489894866943,,ga_mutation_crossover,COc1ccc(C(O)(O)C(O)CO)cc1OC1OC(CO)C(O)C(O)C1O,True,0.88,pass,,392.3570000000001,189.52999999999997,8.0,11.0,19.0,-3.635499999999999,7.0,2.0,27.0,11.0,0.2222222222222222,0.0,True,ok,0.9998062252998352,1.7041339874267578,1.7041339874267578,0.3274497091770172,1.7041339874267578,5.870135307312012,0.0,10.33403205871582,0.9432611465454102,10.833934783935547,0.0,not_used,,10.773934783935546,False,pred_logsw_reencoded_low,7.0
final,,13,COc1ccc(C(O)(O)C(O)C(O)OC2OC(CO)C(O)C(O)C2O)cc1Cl,True,10.979390144348145,0.9999716281890869,2.414395332336426,2.414395332336426,0.17237849533557892,2.414395332336426,5.734100341796875,0.0,10.47940444946289,0.5380237102508545,2.9143810272216797,,ga_mutation_crossover,COc1ccc(C(O)(O)C(O)C(O)OC2OC(CO)C(O)C(O)C2O)cc1Cl,True,0.88,pass,,426.80200000000013,189.52999999999997,8.0,11.0,19.0,-3.0181999999999984,7.0,2.0,28.0,12.0,0.21428571428571427,1.0,True,ok,0.9998295307159424,1.7676913738250732,1.7676913738250732,0.2529545724391937,1.7676913738250732,6.23229455947876,0.14980077743530273,10.292579650878906,0.6612004041671753,10.792494773864746,0.0,not_used,,10.732494773864746,False,pred_logsw_reencoded_low,8.0
final,,23,CC(=O)CCc1ccc(Cl)c2c1OC1(O2)OC(CO)C(O)C(O)C12OC1OC(CO)C(O)C(O2)C1O,True,11.085821151733398,0.9999730587005615,2.4646148681640625,2.4646148681640625,0.2247728705406189,2.4646148681640625,5.707627296447754,0.0,10.585834503173828,0.5814553499221802,2.964601516723633,,ga_mutation_crossover,CC(=O)CCc1ccc(Cl)c2c1OC1(O2)OC(CO)C(O)C(O)C12OC1OC(CO)C(O)C(O2)C1O,True,1.0,pass,,534.8980000000003,193.82999999999998,6.0,13.0,19.0,-2.0497999999999985,5.0,5.0,36.0,14.0,0.16666666666666666,1.0,True,ok,0.9995576739311218,1.4106343984603882,1.4106343984603882,0.18454259634017944,1.4106343984603882,6.047746658325195,0.0,10.185972213745117,0.3984273374080658,10.685750961303711,0.0,not_used,,10.685750961303711,False,pred_logsw_reencoded_low,10.0
final,,5,COC(=O)C1(O)C(O)C(O)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,True,10.973278999328613,0.9999786615371704,2.3153645992279053,2.3153645992279053,0.12555880844593048,2.3153645992279053,5.647149085998535,0.0,10.473289489746094,0.5872058868408203,2.8153538703918457,,ga_mutation_crossover,COC(=O)C1(O)C(O)C(O)OC1(Cl)OC1OC(CO)C(O)C(O)C1O,True,0.88,pass,,390.7250000000001,195.6,7.0,12.0,19.0,-4.690899999999994,4.0,2.0,25.0,13.0,0.0,1.0,True,ok,0.9969032406806946,1.6564562320709229,1.6564562320709229,0.3279014825820923,1.6564562320709229,5.821295738220215,0.0,10.13364315032959,0.35327771306037903,10.632094383239746,0.0,not_used,,10.572094383239746,False,pred_logsw_reencoded_low,11.0
final,,28,COc1ccc(C23Oc4cccc(c4O2)C3OC2OC(CO)C(O)C(O)C2O)cc1Cl,True,10.961511611938477,0.9999686479568481,2.4970011711120605,2.4970011711120605,0.2336355298757553,2.4970011711120605,5.740682601928711,0.0,10.461526870727539,0.5295203328132629,2.99698543548584,,ga_mutation_crossover,COc1ccc(C23Oc4cccc(c4O2)C3OC2OC(CO)C(O)C(O)C2O)cc1Cl,True,1.0,pass,,452.8430000000001,127.07000000000002,4.0,9.0,13.0,0.8439999999999992,5.0,5.0,31.0,10.0,0.3870967741935484,1.0,True,ok,0.9993730187416077,2.0029990673065186,2.0029990673065186,0.19213595986366272,2.0029990673065186,6.3619489669799805,0.26078903675079346,9.923604965209961,0.3489561080932617,10.423291206359863,0.0,not_used,,10.423291206359863,False,pred_logsw_reencoded_low,12.0
final,,12,COC(=O)C(O)(OC=O)C(O)(Cl)OC1OC(CO)C(O)C(O)C1O,True,11.00942325592041,0.999968409538269,2.5300793647766113,2.5300793647766113,0.12562806904315948,2.5300793647766113,5.534050941467285,0.0,10.509439468383789,0.6511033177375793,3.0300636291503906,,ga_mutation_crossover,COC(=O)C(O)(OC=O)C(O)(Cl)OC1OC(CO)C(O)C(O)C1O,True,0.88,pass,,376.69800000000004,192.44,6.0,12.0,18.0,-4.277599999999997,7.0,1.0,24.0,13.0,0.0,1.0,True,ok,0.9999873638153076,1.8272193670272827,1.8272193670272827,0.17635934054851532,1.8272193670272827,6.361833095550537,0.2606898546218872,9.950275421142578,0.41526085138320923,10.450268745422363,0.0,not_used,,10.390268745422363,False,pred_logsw_reencoded_low,14.0
