generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.28008127212524414,7.898187637329102,9.798250198364258,9.798250198364258,9.305959701538086,1.884840488433838,1.884840488433838,1.8402456045150757,1.8402456045150757,2.1956381797790527,0.8013492226600647,0.9980766773223877,5.2480621337890625,5.902712821960449,7.623751163482666,9.299211502075195,2.159276247024536,2.3392839431762695,0,0.0,0
2,60,0.3484530448913574,9.006216049194336,9.88058090209961,9.88058090209961,9.681692123413086,2.090064764022827,2.090064764022827,2.4799702167510986,2.4799702167510986,2.201991558074951,0.9007055163383484,0.9997615218162537,5.639309406280518,6.474337577819824,8.614336013793945,9.38070011138916,2.4819436073303223,2.979851007461548,0,0.0,0
3,90,0.4143636226654053,9.403759956359863,9.886870384216309,9.886870384216309,9.803617477416992,2.0515646934509277,2.0515646934509277,1.8183828592300415,2.4799702167510986,2.1250905990600586,0.8765962719917297,0.9984877109527588,6.163788795471191,5.973806381225586,9.040793418884277,9.387626647949219,2.414531707763672,2.317626714706421,0,0.0,0
4,120,0.4811666011810303,9.779022216796875,10.222000122070312,10.222000122070312,9.985529899597168,2.1848807334899902,2.1848807334899902,2.4351301193237305,2.4799702167510986,2.074662923812866,0.9574166536331177,0.9999629259109497,6.158163070678711,6.120026588439941,9.318171501159668,9.722018241882324,2.6457321643829346,2.9351115226745605,0,0.0,0
5,150,0.5503246784210205,10.047558784484863,10.445779800415039,10.445779800415039,10.25434684753418,2.1754519939422607,2.1754519939422607,2.3077609539031982,2.4799702167510986,2.2166085243225098,0.9971043467521667,0.9726019501686096,5.881694316864014,5.419739723205566,9.549004554748535,9.959478378295898,2.674004077911377,2.7940618991851807,0,0.0,0
6,180,0.6160595417022705,10.235899925231934,10.445779800415039,10.445779800415039,10.340394973754883,2.224501132965088,2.224501132965088,2.3077609539031982,2.4799702167510986,2.2293410301208496,0.9961532354354858,0.9726019501686096,5.783819198608398,5.419739723205566,9.737822532653809,9.959478378295898,2.7225770950317383,2.7940618991851807,0,0.0,1
7,210,0.67539381980896,10.379775047302246,10.70124626159668,10.70124626159668,10.518796920776367,2.2887420654296875,2.2887420654296875,2.3682916164398193,2.4799702167510986,2.325622081756592,0.9930465817451477,0.9999552965164185,5.6962809562683105,5.638739109039307,9.88325309753418,10.201268196105957,2.7852656841278076,2.868269205093384,0,0.0,0
8,240,0.7376112937927246,10.526968955993652,10.727144241333008,10.727144241333008,10.657198905944824,2.3241970539093018,2.3241970539093018,2.3026089668273926,2.4799702167510986,2.311265230178833,0.9952141046524048,0.9999462366104126,5.625253677368164,5.602181434631348,10.029362678527832,10.227170944213867,2.8218040466308594,2.802582025527954,0,0.0,0
9,270,0.7995331287384033,10.640775680541992,10.921463966369629,10.921463966369629,10.74610424041748,2.3240485191345215,2.3240485191345215,2.3794498443603516,2.4799702167510986,2.339090585708618,0.9976912140846252,0.9999312162399292,5.5968828201293945,5.680374622344971,10.14193058013916,10.42149829864502,2.822894334793091,2.879415512084961,0,0.0,0
10,300,0.8590362071990967,10.706222534179688,10.93492317199707,10.93492317199707,10.82560920715332,2.3361411094665527,2.3361411094665527,2.4187633991241455,2.4799702167510986,2.3375537395477295,0.9992682933807373,0.9999538660049438,5.595543384552002,5.6822099685668945,10.206589698791504,10.434946060180664,2.835775852203369,2.9187402725219727,0,0.0,0
11,330,0.9126150608062744,10.799027442932129,10.93492317199707,10.93492317199707,10.88558292388916,2.334120512008667,2.334120512008667,2.4187633991241455,2.4799702167510986,2.3268091678619385,0.9993644952774048,0.9999538660049438,5.645375728607178,5.6822099685668945,10.299345970153809,10.434946060180664,2.8338029384613037,2.9187402725219727,0,0.0,1
12,360,0.9813182353973389,10.88465404510498,11.069049835205078,11.069049835205078,10.955902099609375,2.33982253074646,2.33982253074646,2.2616469860076904,2.4799702167510986,2.337268352508545,0.9997729063034058,0.9999266862869263,5.681885719299316,5.70965576171875,10.384765625,10.569086074829102,2.839709520339966,2.761610269546509,0,0.0,0
