generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.26230621337890625,7.898187637329102,9.798250198364258,9.798250198364258,9.305959701538086,1.884840488433838,1.884840488433838,1.8402456045150757,1.8402456045150757,2.1956381797790527,0.8013490438461304,0.9980766773223877,5.248063087463379,5.902712821960449,7.623751640319824,9.299211502075195,2.159276247024536,2.3392839431762695,0,0.0,0
2,60,0.32494354248046875,9.170055389404297,9.936575889587402,9.936575889587402,9.824027061462402,2.1720998287200928,2.1720998287200928,2.573981761932373,2.573981761932373,2.1496634483337402,0.9043371081352234,0.999832272529602,5.706700801849365,5.6517815589904785,8.768705368041992,9.436659812927246,2.573448896408081,3.0738978385925293,0,0.0,0
3,90,0.3841745853424072,9.760442733764648,10.265024185180664,10.265024185180664,10.001363754272461,2.1765129566192627,2.1765129566192627,2.515260696411133,2.573981761932373,2.324289321899414,0.9830504059791565,0.9999430179595947,5.817866802215576,5.506044864654541,9.27342700958252,9.765052795410156,2.663529396057129,3.0152320861816406,0,0.0,0
4,120,0.4410414695739746,10.025249481201172,10.299283981323242,10.299283981323242,10.197824478149414,2.2805323600769043,2.2805323600769043,2.2486186027526855,2.573981761932373,2.391559362411499,0.9994460344314575,0.9998069405555725,5.64796781539917,5.4209489822387695,9.52552604675293,9.7993803024292,2.78025484085083,2.7485220432281494,0,0.0,0
5,150,0.5005943775177002,10.179253578186035,10.305785179138184,10.305785179138184,10.284629821777344,2.3636386394500732,2.3636386394500732,2.3981595039367676,2.573981761932373,2.4106507301330566,0.9997844099998474,0.9999593496322632,5.530996322631836,5.349262714385986,9.679364204406738,9.805805206298828,2.8635308742523193,2.898139238357544,0,0.0,0
6,180,0.5542266368865967,10.274094581604004,10.455711364746094,10.455711364746094,10.359100341796875,2.3827145099639893,2.3827145099639893,2.336132764816284,2.573981761932373,2.421112537384033,0.9998890161514282,0.999832034111023,5.499814987182617,5.5367326736450195,9.774148941040039,9.955795288085938,2.882659435272217,2.8360488414764404,0,0.0,0
7,210,0.6202137470245361,10.367120742797852,10.559417724609375,10.559417724609375,10.466095924377441,2.4119505882263184,2.4119505882263184,2.6135659217834473,2.6135659217834473,2.440347671508789,0.9998635649681091,0.9999077320098877,5.515733242034912,5.509439468383789,9.867188453674316,10.059463500976562,2.911882162094116,3.1135196685791016,0,0.0,0
8,240,0.6865875720977783,10.454459190368652,10.647969245910645,10.647969245910645,10.5687894821167,2.4355876445770264,2.4355876445770264,2.3429226875305176,2.6135659217834473,2.4250659942626953,0.9998829960823059,0.9998181462287903,5.549386501312256,5.528658866882324,9.954516410827637,10.148059844970703,2.9355289936065674,2.84283185005188,0,0.0,0
9,270,0.749908447265625,10.544988632202148,10.69914722442627,10.69914722442627,10.622779846191406,2.4286468029022217,2.4286468029022217,2.5522987842559814,2.6135659217834473,2.420985698699951,0.9998559355735779,0.9999381303787231,5.535800457000732,5.6399335861206055,10.045062065124512,10.199177742004395,2.928574562072754,3.0522677898406982,0,0.0,0
10,300,0.8071553707122803,10.619180679321289,10.813067436218262,10.813067436218262,10.714231491088867,2.4171743392944336,2.4171743392944336,2.398669958114624,2.6135659217834473,2.457838535308838,0.9998457431793213,0.999832034111023,5.583034992218018,5.584503173828125,10.11925983428955,10.313151359558105,2.917097330093384,2.8985860347747803,0,0.0,0
11,330,0.8734049797058105,10.654767990112305,10.824666023254395,10.824666023254395,10.757898330688477,2.480060577392578,2.480060577392578,2.5418219566345215,2.6135659217834473,2.5146231651306152,0.9999001622200012,0.9999518394470215,5.634983539581299,5.758130073547363,10.154817581176758,10.324689865112305,2.980010509490967,3.0417978763580322,0,0.0,0
12,360,0.9430727958679199,10.744709968566895,10.881818771362305,10.881818771362305,10.829267501831055,2.489957094192505,2.489957094192505,2.506251335144043,2.6135659217834473,2.5233161449432373,0.9998998045921326,0.9999234676361084,5.650211811065674,5.7126970291137695,10.244762420654297,10.381856918334961,2.9899070262908936,3.0062131881713867,0,0.0,0
