generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.26799964904785156,2.1592764854431152,3.265838861465454,3.265838861465454,2.86016845703125,1.884840488433838,1.884840488433838,2.7658469676971436,2.7658469676971436,2.365428924560547,0.8013492822647095,0.9999837875366211,5.248062610626221,5.298385143280029,7.623751640319824,7.660553932189941,2.1592764854431152,3.265838861465454,0,0.0,0
2,60,0.3293740749359131,2.8719818592071533,3.2684056758880615,3.2684056758880615,3.175086736679077,2.4154350757598877,2.4154350757598877,2.768413782119751,2.768413782119751,2.6756958961486816,0.9577206969261169,0.9999836683273315,5.643469333648682,5.314636707305908,8.130143165588379,7.605332851409912,2.8719818592071533,3.2684056758880615,0,0.0,0
3,90,0.3876466751098633,3.1645185947418213,3.317049980163574,3.317049980163574,3.279719114303589,2.6657774448394775,2.6657774448394775,2.817056894302368,2.817056894302368,2.7797281742095947,0.9974820613861084,0.9999862909317017,5.475191593170166,5.015273094177246,8.050294876098633,7.844963073730469,3.1645185947418213,3.317049980163574,1,0.03333333333333333,0
4,120,0.45339393615722656,3.2754626274108887,3.42236328125,3.42236328125,3.3495864868164062,2.7755126953125,2.7755126953125,2.922374725341797,2.922374725341797,2.849595308303833,0.9998998045921326,0.9999772310256958,5.332004070281982,5.1022186279296875,7.887261390686035,7.924437046051025,3.2754626274108887,3.42236328125,11,0.36666666666666664,0
5,150,0.5208439826965332,3.340214967727661,3.5092546939849854,3.5092546939849854,3.414358139038086,2.840224266052246,2.840224266052246,3.009263515472412,3.009263515472412,2.91436767578125,0.9999815821647644,0.999982476234436,5.03586483001709,4.9944987297058105,7.841779708862305,7.69821310043335,3.340214967727661,3.5092546939849854,21,0.7,0
6,180,0.5790369510650635,3.416632890701294,3.546154260635376,3.546154260635376,3.5101261138916016,2.916642189025879,2.916642189025879,3.0461630821228027,3.0461630821228027,3.0101351737976074,0.9999803304672241,0.9999822378158569,5.026000499725342,5.031123161315918,7.8539137840271,7.749373435974121,3.416632890701294,3.546154260635376,29,0.9666666666666667,0
7,210,0.6343765258789062,3.4920971393585205,3.5988802909851074,3.5988802909851074,3.5490517616271973,2.9921066761016846,2.9921066761016846,3.0988893508911133,3.0988893508911133,3.049060583114624,0.9999818205833435,0.9999819993972778,4.992122173309326,5.040714740753174,7.804159164428711,7.88632869720459,3.4920971393585205,3.5988802909851074,30,1.0,0
8,240,0.7013564109802246,3.5295231342315674,3.607905387878418,3.607905387878418,3.5761852264404297,3.0295324325561523,3.0295324325561523,3.1079161167144775,3.1079161167144775,3.0761945247650146,0.9999815821647644,0.99997878074646,5.010366916656494,5.072380542755127,7.7769012451171875,7.818892002105713,3.5295231342315674,3.607905387878418,30,1.0,0
9,270,0.7669658660888672,3.5726914405822754,3.645932674407959,3.645932674407959,3.614095687866211,3.072700262069702,3.072700262069702,3.1459431648254395,3.1459431648254395,3.114105701446533,0.9999816417694092,0.9999791383743286,5.072417259216309,5.119235038757324,7.8116559982299805,7.919069766998291,3.5726914405822754,3.645932674407959,30,1.0,0
10,300,0.8268415927886963,3.597752094268799,3.664813995361328,3.664813995361328,3.6386077404022217,3.097761869430542,3.097761869430542,3.164824962615967,3.164824962615967,3.1386184692382812,0.9999814629554749,0.9999780654907227,5.075759410858154,5.136910438537598,7.829953193664551,7.9441423416137695,3.597752094268799,3.664813995361328,30,1.0,0
11,330,0.8829710483551025,3.6203813552856445,3.685542583465576,3.685542583465576,3.664660692214966,3.120391368865967,3.120391368865967,3.185553550720215,3.185553550720215,3.1646711826324463,0.9999788999557495,0.9999778270721436,5.094761848449707,5.0735859870910645,7.83563232421875,7.832913875579834,3.6203813552856445,3.685542583465576,30,1.0,0
12,360,0.9465625286102295,3.6586825847625732,3.704800605773926,3.704800605773926,3.691044569015503,3.158693552017212,3.158693552017212,3.2048118114471436,3.2048118114471436,3.1910557746887207,0.9999780058860779,0.9999775886535645,5.1123576164245605,5.059474945068359,7.8522186279296875,7.935214042663574,3.6586825847625732,3.704800605773926,30,1.0,0
