generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,docking_score,docking_score_std,gated_base_score,success
1,2.7658469676971436,0.9999837875366211,2.7658469676971436,2.7658469676971436,0.2119266390800476,2.7658469676971436,5.298385143280029,0.0,7.660553932189941,0.40941938757896423,3.265838861465454,False
2,2.7901859283447266,0.9213240742683411,2.7901859283447266,2.7901859283447266,0.22345194220542908,2.7901859283447266,5.624180316925049,0.0,8.718968391418457,0.40874403715133667,3.2508480548858643,False
3,2.7901859283447266,0.9213240742683411,2.7901859283447266,2.7901859283447266,0.22345194220542908,2.7901859283447266,5.624180316925049,0.0,8.718968391418457,0.40874403715133667,3.2508480548858643,False
4,2.9475340843200684,0.9999727010726929,2.9475340843200684,2.9475340843200684,0.2515251040458679,2.9475340843200684,5.039231300354004,0.0,7.758950710296631,0.33848002552986145,3.4475204944610596,True
5,2.976921558380127,0.9999806880950928,2.976921558380127,2.976921558380127,0.24888314306735992,2.976921558380127,5.10001802444458,0.0,7.603747367858887,0.31662118434906006,3.476912021636963,True
6,3.0524353981018066,0.9999676942825317,3.0524353981018066,3.0524353981018066,0.26743417978286743,3.0524353981018066,4.869875431060791,0.0,7.900827884674072,0.33175408840179443,3.5524191856384277,True
7,3.0733463764190674,0.9999622106552124,3.0733463764190674,3.0733463764190674,0.2731066346168518,3.0733463764190674,4.933976650238037,0.0,7.904066562652588,0.34477126598358154,3.5733275413513184,True
8,3.0968823432922363,0.9999735355377197,3.0968823432922363,3.0968823432922363,0.24846068024635315,3.0968823432922363,5.0355095863342285,0.0,7.7694525718688965,0.3770906329154968,3.5968689918518066,True
9,3.1249969005584717,0.9999748468399048,3.1249969005584717,3.1249969005584717,0.23358409106731415,3.1249969005584717,5.0343475341796875,0.0,7.782112121582031,0.3848417401313782,3.6249842643737793,True
10,3.1590659618377686,0.9999648332595825,3.1590659618377686,3.1590659618377686,0.2127179354429245,3.1590659618377686,4.92037296295166,0.0,7.790879249572754,0.28914061188697815,3.659048318862915,True
11,3.1927530765533447,0.9999643564224243,3.1927530765533447,3.1927530765533447,0.2116595357656479,3.1927530765533447,4.9223175048828125,0.0,7.82879114151001,0.296679824590683,3.692735195159912,True
12,3.1967995166778564,0.9999710321426392,3.1967995166778564,3.1967995166778564,0.23147356510162354,3.1967995166778564,5.1864728927612305,0.0,7.553427696228027,0.29378554224967957,3.6967849731445312,True
