generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve
1,30,0.2500016689300537,1.884840488433838,2.7658469676971436,2.7658469676971436,2.434842586517334,1.884840488433838,1.884840488433838,2.7658469676971436,2.7658469676971436,2.434842586517334,0.8013492226600647,0.9999837875366211,5.2480621337890625,5.298385143280029,7.623751163482666,7.660553932189941,2.159276247024536,3.265838861465454,0,0.0,0
2,60,0.31470394134521484,2.3779959678649902,2.82238507270813,2.82238507270813,2.639601230621338,2.3779959678649902,2.3779959678649902,2.82238507270813,2.82238507270813,2.639601230621338,0.7610533237457275,0.9999828338623047,5.63557243347168,5.172839164733887,8.031267166137695,7.804107666015625,2.594670534133911,3.3223764896392822,1,0.03333333333333333,0
3,90,0.3803849220275879,2.591122627258301,2.82238507270813,2.82238507270813,2.7190399169921875,2.591122627258301,2.591122627258301,2.82238507270813,2.82238507270813,2.7190399169921875,0.903316855430603,0.9999828338623047,5.731400489807129,5.172839164733887,8.152691841125488,7.804107666015625,2.9785614013671875,3.3223764896392822,2,0.06666666666666667,1
4,120,0.4359900951385498,2.6864867210388184,2.8263192176818848,2.8263192176818848,2.780599594116211,2.6864867210388184,2.6864867210388184,2.8263192176818848,2.8263192176818848,2.780599594116211,0.9960407614707947,0.9999815225601196,5.330591201782227,5.304646968841553,7.6961517333984375,7.788144588470459,3.184506893157959,3.3263099193573,5,0.16666666666666666,0
5,150,0.49153876304626465,2.7799062728881836,2.888698101043701,2.888698101043701,2.836967945098877,2.7799062728881836,2.7799062728881836,2.888698101043701,2.888698101043701,2.836967945098877,0.9985210299491882,0.9999804496765137,5.222699165344238,5.235037803649902,7.650454998016357,7.819512844085693,3.2791666984558105,3.388688325881958,13,0.43333333333333335,0
6,180,0.5568253993988037,2.823140859603882,2.919140100479126,2.919140100479126,2.873737335205078,2.823140859603882,2.823140859603882,2.919140100479126,2.919140100479126,2.873737335205078,0.9996924996376038,0.9999603033065796,5.214685440063477,5.1161065101623535,7.7844061851501465,7.616856575012207,3.3229868412017822,3.4191203117370605,19,0.6333333333333333,0
7,210,0.616863489151001,2.869425058364868,2.9634671211242676,2.9634671211242676,2.925365924835205,2.869425058364868,2.869425058364868,2.9634671211242676,2.9634671211242676,2.925365924835205,0.9999769330024719,0.9999696016311646,5.192205905914307,4.995948791503906,7.890208721160889,8.350993156433105,3.369412660598755,3.463451862335205,26,0.8666666666666667,0
8,240,0.6705131530761719,2.931114435195923,3.020576238632202,3.020576238632202,2.9796605110168457,2.931114435195923,2.931114435195923,3.020576238632202,3.020576238632202,2.9796605110168457,0.9999716281890869,0.9999642372131348,5.130256175994873,4.989249229431152,8.05005168914795,8.358274459838867,3.431100368499756,3.5205583572387695,30,1.0,0
9,270,0.7316269874572754,2.970716953277588,3.036231517791748,3.036231517791748,3.017963409423828,2.970716953277588,2.970716953277588,3.036231517791748,3.036231517791748,3.017963409423828,0.9999687671661377,0.9999617338180542,5.0882978439331055,5.021127223968506,8.234509468078613,8.401651382446289,3.470700740814209,3.53621244430542,30,1.0,0
10,300,0.7872335910797119,3.0240440368652344,3.099623680114746,3.099623680114746,3.064126491546631,3.0240440368652344,3.0240440368652344,3.099623680114746,3.099623680114746,3.064126491546631,0.9999701976776123,0.9999667406082153,5.032739639282227,5.081557750701904,8.251909255981445,8.434103965759277,3.52402925491333,3.599606990814209,30,1.0,0
11,330,0.8456218242645264,3.0696470737457275,3.146928071975708,3.146928071975708,3.1092007160186768,3.0696470737457275,3.0696470737457275,3.146928071975708,3.146928071975708,3.1092007160186768,0.9999691843986511,0.999961256980896,5.023777961730957,5.063942909240723,8.29486083984375,8.34459400177002,3.569631338119507,3.646908760070801,30,1.0,0
12,360,0.9101419448852539,3.0997567176818848,3.1812222003936768,3.1812222003936768,3.149400472640991,3.0997567176818848,3.0997567176818848,3.1812222003936768,3.1812222003936768,3.149400472640991,0.9999656677246094,0.9999642372131348,5.0555195808410645,5.128861427307129,8.343513488769531,8.5770263671875,3.5997397899627686,3.681204319000244,30,1.0,0
