generation,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success
1,3.3883111476898193,0.8550133109092712,2.9608044624328613,3.0444142818450928,0.3344392776489258,2.9608044624328613,6.286275386810303,0.1320142149925232,True
2,3.5558907985687256,0.9573400616645813,3.0772206783294678,3.1696078777313232,0.369549036026001,3.0772206783294678,5.598992347717285,0.0,True
3,3.8601224422454834,0.9607419967651367,3.379751443862915,3.4793503284454346,0.3983956575393677,3.379751443862915,6.221847057342529,0.07656173408031464,True
4,3.903498649597168,0.9411475658416748,3.432924747467041,3.5264229774475098,0.3739933967590332,3.432924747467041,5.955832004547119,0.0,True
5,3.9867029190063477,0.8804510235786438,3.5464773178100586,3.636981248855591,0.3620154857635498,3.5,5.7417473793029785,0.0,True
6,4.00697660446167,0.933085024356842,3.540433883666992,3.64778208732605,0.42939287424087524,3.5,6.007363319396973,0.0,True
7,4.00697660446167,0.933085024356842,3.540433883666992,3.64778208732605,0.42939287424087524,3.5,6.007363319396973,0.0,True
8,4.090773105621338,0.964438259601593,3.608553886413574,3.6895365715026855,0.32393085956573486,3.5,5.622895240783691,0.0,True
9,4.090773105621338,0.964438259601593,3.608553886413574,3.6895365715026855,0.32393085956573486,3.5,5.622895240783691,0.0,True
10,4.1057281494140625,0.9469040632247925,3.6322760581970215,3.7182822227478027,0.3440243601799011,3.5,5.826775550842285,0.0,True
11,4.177831172943115,0.9872531294822693,3.684204578399658,3.7719573974609375,0.35101091861724854,3.5,5.8899993896484375,0.0,True
12,4.201841354370117,0.9847500324249268,3.7094662189483643,3.7953102588653564,0.34337595105171204,3.5,5.7563886642456055,0.0,True
