generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.2381885051727295,2.0127272605895996,3.4402923583984375,3.4402923583984375,2.865565299987793,2.218937635421753,2.218937635421753,2.963355779647827,2.963355779647827,2.726193428039551,0.35811930894851685,0.953873336315155,5.451163291931152,5.799986839294434,3,0.1,0
2,60,8.729005336761475,2.8420839309692383,3.504894971847534,3.504894971847534,3.3373241424560547,2.641472816467285,2.641472816467285,3.0058655738830566,3.0058655738830566,2.8720099925994873,0.7009181380271912,0.9980586171150208,5.601165771484375,5.582856178283691,6,0.2,0
3,90,15.889076471328735,3.2474687099456787,3.7596359252929688,3.7596359252929688,3.525125503540039,2.8005735874176025,2.8005735874176025,3.2603366374969482,3.2603366374969482,3.05513596534729,0.9137321710586548,0.9985987544059753,5.626288890838623,5.151772499084473,16,0.5333333333333333,0
4,120,21.933562994003296,3.557387351989746,3.8237125873565674,3.8237125873565674,3.723231554031372,3.082122564315796,3.082122564315796,3.3241336345672607,3.3241336345672607,3.2258105278015137,0.9571885466575623,0.9991580247879028,5.376063346862793,5.168099880218506,27,0.9,0
5,150,29.366662979125977,3.739374876022339,3.9385383129119873,3.9385383129119873,3.847838878631592,3.2428970336914062,3.2428970336914062,3.4388439655303955,3.4388439655303955,3.348318576812744,0.9929551482200623,0.9993888139724731,5.257128715515137,5.104629039764404,30,1.0,0
6,180,35.83517146110535,3.8711373805999756,3.9755423069000244,3.9755423069000244,3.9454562664031982,3.3716888427734375,3.3716888427734375,3.475961923599243,3.475961923599243,3.445819139480591,0.9988973736763,0.999160647392273,5.244438648223877,5.140101432800293,30,1.0,0
7,210,41.79383945465088,3.9306814670562744,3.992964267730713,3.992964267730713,3.9733943939208984,3.431121587753296,3.431121587753296,3.493413209915161,3.493413209915161,3.473809003829956,0.9991198778152466,0.9991022348403931,5.212026119232178,5.157168388366699,30,1.0,0
8,240,46.9120774269104,3.9675028324127197,4.06430721282959,4.06430721282959,4.014283180236816,3.4680335521698,3.46286940574646,3.565187454223633,3.565187454223633,3.5148682594299316,0.9989386200904846,0.9982395172119141,5.177340030670166,5.234946250915527,30,1.0,0
9,270,47.07156276702881,4.002111911773682,4.084319114685059,4.084319114685059,4.051430702209473,3.5030150413513184,3.4846715927124023,3.584926128387451,3.584926128387451,3.5521347522735596,0.9981935024261475,0.998785674571991,5.174840927124023,5.0732951164245605,30,1.0,0
10,300,53.945939779281616,4.0523681640625,4.117469310760498,4.117469310760498,4.088773727416992,3.552981376647949,3.4988479614257812,3.6184377670288086,3.6184377670288086,3.589519500732422,0.9987731575965881,0.9980626702308655,5.17789363861084,5.098998069763184,30,1.0,0
11,330,60.171947717666626,4.0737128257751465,4.164173603057861,4.164173603057861,4.124787330627441,3.5746607780456543,3.498634099960327,3.669760227203369,3.669760227203369,3.625976085662842,0.9981045126914978,0.9888267517089844,5.133269309997559,5.141059398651123,30,1.0,0
12,360,68.14485764503479,4.105347633361816,4.188876152038574,4.188876152038574,4.158524990081787,3.6073789596557617,3.499598979949951,3.7000670433044434,3.7000670433044434,3.6610496044158936,0.9959371089935303,0.9776182770729065,5.147051811218262,5.18890905380249,30,1.0,0
