generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.25841450691223145,2.214433431625366,3.318006753921509,3.318006753921509,2.8708221912384033,2.224238395690918,2.224238395690918,2.868487596511841,2.868487596511841,2.542508363723755,0.5271987318992615,0.8990381956100464,5.680120944976807,5.530922889709473,2,0.06666666666666667,0
2,60,12.544918775558472,2.8279783725738525,3.4487180709838867,3.4487180709838867,3.1913394927978516,2.4670069217681885,2.4670069217681885,2.998730421066284,2.998730421066284,2.76546049118042,0.8457687497138977,0.899975061416626,5.525382995605469,5.37007474899292,6,0.2,0
3,90,23.313045978546143,3.155329465866089,3.4880385398864746,3.4880385398864746,3.353747844696045,2.750190258026123,2.750190258026123,3.031024217605591,3.031024217605591,2.9039273262023926,0.8728572130203247,0.9140284657478333,5.676675319671631,5.320293426513672,17,0.5666666666666667,0
4,120,32.09243965148926,3.3543314933776855,3.5292341709136963,3.5292341709136963,3.4743270874023438,2.928030252456665,2.928030252456665,3.0671262741088867,3.0671262741088867,3.019084930419922,0.8852596282958984,0.9242158532142639,5.546690940856934,5.31057596206665,23,0.7666666666666667,0
5,150,40.74440145492554,3.4439198970794678,3.5553176403045654,3.5553176403045654,3.5306739807128906,2.978262424468994,2.978262424468994,3.102952480316162,3.102952480316162,3.066160202026367,0.9336144924163818,0.9047303199768066,5.424944877624512,5.4139814376831055,28,0.9333333333333333,0
6,180,50.373692989349365,3.524218797683716,3.640489101409912,3.640489101409912,3.581232786178589,3.055900812149048,3.055900812149048,3.164043664932251,3.164043664932251,3.116429567337036,0.9366363286972046,0.9528907537460327,5.373884677886963,5.500823974609375,30,1.0,0
7,210,59.482640504837036,3.564256191253662,3.6544930934906006,3.6544930934906006,3.619335889816284,3.100337266921997,3.100337266921997,3.1661057472229004,3.1661057472229004,3.1474432945251465,0.9278379082679749,0.9767747521400452,5.426145553588867,5.591008186340332,30,1.0,0
8,240,68.65081334114075,3.610126256942749,3.7614431381225586,3.7614431381225586,3.678966522216797,3.1360743045806885,3.1360743045806885,3.2737574577331543,3.2737574577331543,3.1943652629852295,0.9481043219566345,0.975371241569519,5.458349704742432,5.401165962219238,30,1.0,0
9,270,78.65220355987549,3.6701998710632324,3.769547939300537,3.769547939300537,3.7317168712615967,3.1892318725585938,3.1892318725585938,3.280155897140503,3.280155897140503,3.247364044189453,0.9619365334510803,0.978783905506134,5.514990329742432,5.398642063140869,30,1.0,0
10,300,87.61563515663147,3.718493938446045,3.7949390411376953,3.7949390411376953,3.7694740295410156,3.2377328872680664,3.2377328872680664,3.305217742919922,3.305217742919922,3.285348415374756,0.9615222215652466,0.9794424176216125,5.500488758087158,5.638409614562988,30,1.0,0
11,330,96.0353889465332,3.750413417816162,3.840278148651123,3.840278148651123,3.803112030029297,3.2689316272735596,3.2689316272735596,3.3488945960998535,3.3488945960998535,3.3193421363830566,0.9629630446434021,0.9827669858932495,5.522225379943848,5.469365119934082,30,1.0,0
12,360,99.08027195930481,3.7854316234588623,3.8551340103149414,3.8551340103149414,3.834862232208252,3.3060336112976074,3.3060336112976074,3.361220359802246,3.361220359802246,3.3487467765808105,0.9587962031364441,0.9878273606300354,5.506505966186523,5.506957530975342,30,1.0,0
