generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success,source_type,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,,0,COc1ccccc1C12C3C4C5C6OC3(CN61)CC2(N5CS)S4(=O)=O,True,3.840278148651123,0.9827669858932495,3.3488945960998535,3.4458858966827393,0.3879653811454773,3.3488945960998535,5.469365119934082,0.0,,ga_mutation_crossover,COc1ccccc1C12C3C4C5C6OC3(CN61)CC2(N5CS)S4(=O)=O,True,0.96,pass,,378.475,59.080000000000005,1.0,7.0,8.0,0.3995,3.0,7.0,25.0,8.0,0.24,0.0,True,ok,0.995563268661499,2.9220635890960693,3.0246307849884033,0.41026923060417175,2.9220635890960693,7.912786960601807,1.5319279432296753,3.37748384475708,0.0,not_used,,3.35748384475708,False,d_ood_reencoded_high,1.0
final,,13,COc1ccccc1C12CCC3(C1)OCN(S(C)(=O)=O)C3N2,True,3.8551340103149414,0.9878273606300354,3.361220359802246,3.459807872772217,0.3943501114845276,3.361220359802246,5.506957530975342,0.0,,ga_mutation_crossover,COc1ccccc1C12CCC3(C1)OCN(S(C)(=O)=O)C3N2,True,1.0,pass,,324.402,67.87,1.0,5.0,6.0,0.9918,3.0,4.0,22.0,7.0,0.2727272727272727,0.0,True,ok,0.5159677863121033,3.212880849838257,3.3287651538848877,0.4635368287563324,3.212880849838257,5.542065620422363,0.0,3.2436389923095703,0.0,not_used,,3.2436389923095703,False,p_sweet_reencoded_low,2.0
final,,10,COc1ccccc1C12CCC3C(N1)N1C(O)C32CS1(=O)=O,True,3.840649366378784,0.9846047759056091,3.3483469486236572,3.4447340965270996,0.38554859161376953,3.3483469486236572,5.505955219268799,0.0,,ga_mutation_crossover,COc1ccccc1C12CCC3C(N1)N1C(O)C32CS1(=O)=O,True,1.0,pass,,322.3860000000001,78.87,2.0,5.0,7.0,0.1936000000000001,2.0,5.0,22.0,7.0,0.2727272727272727,0.0,True,ok,0.9312247037887573,2.638659715652466,2.7121384143829346,0.2939143776893616,2.638659715652466,6.486084938049316,0.3039872646331787,3.1042721271514893,0.0,not_used,,3.1042721271514893,True,pass,3.0
final,,28,COc1ccoc1C=C1C2C3CCC24c2ccccc2ON4C1S3(=O)=O,True,3.6702942848205566,0.8413689136505127,3.24960994720459,3.351487398147583,0.4075097143650055,3.24960994720459,5.548859119415283,0.0,,ga_mutation_crossover,COc1ccoc1C=C1C2C3CCC24c2ccccc2ON4C1S3(=O)=O,True,1.0,pass,,371.4140000000001,68.98,0.0,6.0,6.0,2.7232000000000003,2.0,6.0,26.0,7.0,0.4230769230769231,0.0,True,ok,0.0027008834294974804,3.7145395278930664,3.806933641433716,0.3695761561393738,3.5,6.033742427825928,0.0,3.0780506134033203,0.0,not_used,,3.0780506134033203,False,p_sweet_reencoded_low,4.0
final,,21,COc1ccccc1C1C2CS(=O)(=O)C3C2OCN13,True,3.6880686283111572,0.9571755528450012,3.2094807624816895,3.301215648651123,0.36693981289863586,3.2094807624816895,5.565798282623291,0.0,,ga_mutation_crossover,COc1ccccc1C1C2CS(=O)(=O)C3C2OCN13,True,1.0,pass,,281.333,55.84000000000001,0.0,5.0,5.0,0.7788999999999999,2.0,4.0,19.0,6.0,0.3157894736842105,0.0,True,ok,0.7174022793769836,2.7358150482177734,2.837599515914917,0.4071381688117981,2.7358150482177734,6.324028491973877,0.16450774669647217,3.028438091278076,0.0,not_used,,3.028438091278076,False,p_sweet_reencoded_low,5.0
final,,24,COc1ccccc1C12NC3NC4C(=O)OC35CC41S(=O)(=O)CC52,True,3.813011884689331,0.9670482873916626,3.3294878005981445,3.4209818840026855,0.3659766912460327,3.3294878005981445,5.561240196228027,0.0,,ga_mutation_crossover,COc1ccccc1C12NC3NC4C(=O)OC35CC41S(=O)(=O)CC52,True,0.96,pass,,348.3800000000001,93.72999999999999,2.0,7.0,9.0,-0.7256999999999987,2.0,8.0,24.0,8.0,0.25,0.0,True,ok,0.9809360504150391,2.378978967666626,2.4504356384277344,0.2858268916606903,2.378978967666626,7.169222354888916,0.8919532299041748,2.8694469928741455,0.0,not_used,,2.8494469928741455,False,pred_logsw_reencoded_low,6.0
final,,19,COc1ccccc1C12NC3N4C5C(=O)OC3(CC51)C2CS4(=O)=O,True,3.7638204097747803,0.9832367300987244,3.2722020149230957,3.3576958179473877,0.34197545051574707,3.2722020149230957,5.575028419494629,0.0,,ga_mutation_crossover,COc1ccccc1C12NC3N4C5C(=O)OC3(CC51)C2CS4(=O)=O,True,1.0,pass,,348.38000000000005,84.94,1.0,6.0,7.0,-0.22089999999999965,2.0,6.0,24.0,8.0,0.25,0.0,True,ok,0.8236072659492493,2.283278226852417,2.394129753112793,0.4434061050415039,2.283278226852417,7.223050117492676,0.9382819533348083,2.695081949234009,0.0,not_used,,2.695081949234009,False,pred_logsw_reencoded_low,8.0
final,,22,CN(C)N=CN1CC2CC3C1(c1ccccc1)C2CS3(=O)=O,True,3.785991668701172,0.9783958196640015,3.2967936992645264,3.384770154953003,0.3519054055213928,3.2967936992645264,5.61775541305542,0.0,,ga_mutation_crossover,CN(C)N=CN1CC2CC3C1(c1ccccc1)C2CS3(=O)=O,True,1.0,pass,,319.43000000000006,52.98,0.0,4.0,4.0,1.1354999999999997,3.0,4.0,22.0,6.0,0.2727272727272727,0.0,True,ok,0.7710855007171631,2.3056564331054688,2.4638314247131348,0.6327003836631775,2.3056564331054688,7.365702152252197,1.0610604286193848,2.6632049083709717,0.0,not_used,,2.6632049083709717,False,p_sweet_reencoded_low;pred_logsw_reencoded_low;d_ood_reencoded_high,9.0
final,,1,COc1ccccc1C12CCC34OCN(C3N1)S(=O)(=O)CC24,True,3.835914134979248,0.9362062215805054,3.3678109645843506,3.469658374786377,0.40738990902900696,3.3678109645843506,5.549218654632568,0.0,,ga_mutation_crossover,COc1ccccc1C12CCC34OCN(C3N1)S(=O)(=O)CC24,True,1.0,pass,,322.386,67.87,1.0,5.0,6.0,0.6016999999999999,2.0,5.0,22.0,7.0,0.2727272727272727,0.0,True,ok,0.6443590521812439,2.0753610134124756,2.144068956375122,0.274832159280777,2.0753610134124756,5.207748889923096,0.0,2.2730278968811035,0.0,not_used,,2.2730278968811035,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,10.0
final,,8,COc1ccccc1C12CC3OCN(C3N1)S(=O)(=O)C2,True,3.7318015098571777,0.9535266757011414,3.255038261413574,3.347104549407959,0.36826494336128235,3.255038261413574,5.450955867767334,0.0,,ga_mutation_crossover,COc1ccccc1C12CC3OCN(C3N1)S(=O)(=O)C2,True,1.0,pass,,296.34800000000007,67.87,1.0,5.0,6.0,0.21160000000000007,2.0,4.0,20.0,7.0,0.3,0.0,True,ok,0.041531823575496674,2.7913217544555664,2.9326722621917725,0.5654023289680481,2.7913217544555664,6.780557155609131,0.5574349761009216,2.205313205718994,0.0,not_used,,2.205313205718994,False,p_sweet_reencoded_low,12.0
