generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.2396864891052246,1.9535795450210571,3.5673108100891113,3.5673108100891113,2.990241289138794,1.4897196292877197,1.4897196292877197,3.068976879119873,3.068976879119873,2.5044572353363037,0.953988254070282,0.9966678023338318,5.540180683135986,6.235888957977295,3,0.1,0
2,60,18.697434186935425,2.7105088233947754,3.5673108100891113,3.5673108100891113,3.2462658882141113,2.3185391426086426,2.3185391426086426,3.068976879119873,3.068976879119873,2.8028993606567383,0.8787611722946167,0.9966678023338318,5.903497219085693,6.235888957977295,5,0.16666666666666666,1
3,90,35.67506551742554,3.169255495071411,4.0230512619018555,4.0230512619018555,3.591487407684326,2.7126359939575195,2.7117919921875,3.525325059890747,3.525325059890747,3.1072652339935303,0.9461725950241089,0.9954524636268616,6.162493705749512,5.576077938079834,12,0.4,0
4,120,54.259015798568726,3.6663637161254883,4.0614542961120605,4.0614542961120605,4.013010501861572,3.170381784439087,3.1608853340148926,3.563663959503174,3.563663959503174,3.5147719383239746,0.9937216639518738,0.9955808520317078,6.138461589813232,5.555425643920898,26,0.8666666666666667,0
5,150,67.38644886016846,3.947113275527954,4.221701145172119,4.221701145172119,4.086887359619141,3.4492709636688232,3.417447566986084,3.724513292312622,3.724513292312622,3.588456392288208,0.9956854581832886,0.9943757057189941,5.851354598999023,5.555050373077393,30,1.0,0
6,180,80.58486032485962,4.050148963928223,4.227573871612549,4.227573871612549,4.154171943664551,3.5512514114379883,3.4852514266967773,3.728511333465576,3.728511333465576,3.6552023887634277,0.9977945685386658,0.9981246590614319,5.845251560211182,5.706666946411133,30,1.0,0
7,210,93.04736518859863,4.155526161193848,4.320946216583252,4.320946216583252,4.251099109649658,3.6567046642303467,3.4992477893829346,3.8214261531829834,3.8214261531829834,3.7525620460510254,0.9976426362991333,0.9990399479866028,5.79587459564209,5.69057035446167,30,1.0,0
8,240,97.77778816223145,4.233615398406982,4.327863693237305,4.327863693237305,4.29100227355957,3.7351129055023193,3.5,3.8295910358428955,3.8295910358428955,3.7926323413848877,0.9970036149024963,0.996545135974884,5.702690601348877,6.144693374633789,30,1.0,0
9,270,108.0197503566742,4.293736457824707,4.37335205078125,4.37335205078125,4.346880912780762,3.795335054397583,3.5,3.875148057937622,3.875148057937622,3.8481059074401855,0.9968016147613525,0.996407687664032,5.77911376953125,6.19765567779541,30,1.0,0
10,300,121.5898585319519,4.338926315307617,4.463894367218018,4.463894367218018,4.397078514099121,3.840031147003174,3.5,3.9645042419433594,3.9645042419433594,3.897874116897583,0.9977895617485046,0.9987799525260925,5.807621955871582,5.83730936050415,30,1.0,0
11,330,136.44850420951843,4.38072395324707,4.468281269073486,4.468281269073486,4.452850341796875,3.881801128387451,3.5,3.969130039215088,3.969130039215088,3.953406810760498,0.9978472590446472,0.9983021020889282,5.8112688064575195,5.751842975616455,30,1.0,0
12,360,151.397310256958,4.41874361038208,4.529556751251221,4.529556751251221,4.483327388763428,3.9196524620056152,3.5,4.030017852783203,4.030017852783203,3.9838690757751465,0.9981809258460999,0.9990781545639038,5.822438716888428,5.727475166320801,30,1.0,0
