generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.23472809791564941,2.3021509647369385,3.2644920349121094,3.2644920349121094,3.003267765045166,1.8214565515518188,1.8214565515518188,2.771300792694092,2.771300792694092,2.510343313217163,0.9746478199958801,0.9863827228546143,5.736767768859863,6.186009407043457,5,0.16666666666666666,0
2,60,19.91287398338318,2.9079978466033936,3.3197734355926514,3.3197734355926514,3.233656406402588,2.453949213027954,2.453949213027954,2.8242287635803223,2.8242287635803223,2.738339424133301,0.9462738037109375,0.9910893440246582,6.151709079742432,6.940411567687988,12,0.4,0
3,90,41.33030104637146,3.194744825363159,3.507638931274414,3.507638931274414,3.3289101123809814,2.7094216346740723,2.7094216346740723,3.077575922012329,3.077575922012329,2.8410229682922363,0.9776329398155212,0.8601261973381042,6.288206100463867,4.41147518157959,23,0.7666666666666667,0
4,120,54.62866830825806,3.330885887145996,3.641531467437744,3.641531467437744,3.4316725730895996,2.8679745197296143,2.8679745197296143,3.1559808254241943,3.1559808254241943,2.950732707977295,0.9477252960205078,0.9711014032363892,6.302244186401367,4.623112678527832,27,0.9,0
5,150,60.37732481956482,3.429995536804199,3.6663239002227783,3.6663239002227783,3.5236411094665527,2.948955774307251,2.948955774307251,3.166801929473877,3.166801929473877,3.0510003566741943,0.9646787643432617,0.9990437626838684,5.901234149932861,5.462776184082031,28,0.9333333333333333,0
6,180,67.94018793106079,3.5191752910614014,3.766913414001465,3.766913414001465,3.6415743827819824,3.0525386333465576,3.0525386333465576,3.2684946060180664,3.2684946060180664,3.151949644088745,0.9431473612785339,0.996837854385376,5.275338649749756,5.483974456787109,27,0.9,0
7,210,73.99709749221802,3.5957958698272705,3.823479652404785,3.823479652404785,3.7288551330566406,3.1331748962402344,3.1331748962402344,3.3250491619110107,3.3250491619110107,3.243870258331299,0.9489773511886597,0.9968611001968384,5.330270767211914,5.511687755584717,27,0.9,0
8,240,78.74461507797241,3.692945718765259,3.892801523208618,3.892801523208618,3.7835001945495605,3.2035908699035645,3.2035908699035645,3.3963913917541504,3.3963913917541504,3.2896838188171387,0.9787086248397827,0.9928204417228699,5.342898845672607,5.4526262283325195,30,1.0,0
9,270,83.977299451828,3.7504022121429443,3.905775785446167,3.905775785446167,3.8594276905059814,3.259047031402588,3.259047031402588,3.4121999740600586,3.4121999740600586,3.3644306659698486,0.9850655794143677,0.9871515035629272,5.291639804840088,5.4726762771606445,29,0.9666666666666667,0
10,300,89.45033597946167,3.8266866207122803,3.939772605895996,3.939772605895996,3.903296709060669,3.3424272537231445,3.341857671737671,3.442042827606201,3.442042827606201,3.4069111347198486,0.9748449325561523,0.9954597353935242,5.35590934753418,5.639435291290283,29,0.9666666666666667,0
11,330,95.61141729354858,3.8741378784179688,3.9798598289489746,3.9798598289489746,3.9379920959472656,3.380728244781494,3.380728244781494,3.4894626140594482,3.4894626140594482,3.442430019378662,0.986819863319397,0.9807944893836975,5.496536731719971,5.583237648010254,30,1.0,0
12,360,101.88687348365784,3.910209894180298,4.049658298492432,4.049658298492432,3.9825522899627686,3.41335129737854,3.4110147953033447,3.557354211807251,3.557354211807251,3.487898349761963,0.9937188625335693,0.9846077561378479,5.59173059463501,5.579202175140381,30,1.0,0
