generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.24927091598510742,2.1503992080688477,3.414327621459961,3.414327621459961,2.857330560684204,1.8512951135635376,1.8512951135635376,2.914358377456665,2.914358377456665,2.3724873065948486,0.7952008843421936,0.9999387264251709,5.377325057983398,5.214848518371582,3,0.1,0
2,60,10.807492971420288,2.8849332332611084,3.4961187839508057,3.4961187839508057,3.3323490619659424,2.42466139793396,2.42466139793396,2.9961600303649902,2.9961600303649902,2.832397937774658,0.9593906998634338,0.9999173879623413,5.247238636016846,4.102024555206299,15,0.5,0
3,90,19.554031372070312,3.2508442401885986,3.5607829093933105,3.5607829093933105,3.490612745285034,2.755756378173828,2.755756378173828,3.060793161392212,3.060793161392212,2.9906363487243652,0.9901756644248962,0.9999796152114868,5.4114155769348145,4.798110008239746,26,0.8666666666666667,0
4,120,28.2554931640625,3.4631597995758057,3.6172821521759033,3.6172821521759033,3.5681915283203125,2.963184356689453,2.963184356689453,3.1172921657562256,3.1172921657562256,3.068207025527954,0.9999499917030334,0.9999798536300659,4.949915409088135,4.881139278411865,30,1.0,0
5,150,37.80556535720825,3.559135675430298,3.6431806087493896,3.6431806087493896,3.623955488204956,3.059150218963623,3.059150218963623,3.1431915760040283,3.1431915760040283,3.123967409133911,0.9999714493751526,0.9999779462814331,4.897500514984131,4.822205543518066,30,1.0,0
6,180,38.642598390579224,3.5860722064971924,3.6708858013153076,3.6708858013153076,3.6374611854553223,3.0860846042633057,3.0860846042633057,3.1708972454071045,3.1708972454071045,3.137472152709961,0.9999763369560242,0.9999771118164062,4.8465704917907715,4.847071170806885,30,1.0,0
7,210,44.27867150306702,3.6280064582824707,3.6996846199035645,3.6996846199035645,3.668879747390747,3.128018617630005,3.128018617630005,3.1996960639953613,3.1996960639953613,3.1688921451568604,0.9999759197235107,0.9999771118164062,4.889115333557129,5.046769142150879,30,1.0,0
8,240,53.62362027168274,3.6556084156036377,3.714064121246338,3.714064121246338,3.697552442550659,3.1556196212768555,3.1556196212768555,3.214076519012451,3.214076519012451,3.1975643634796143,0.9999774694442749,0.9999750852584839,4.916563034057617,5.0630202293396,30,1.0,0
9,270,63.84172320365906,3.6723999977111816,3.7569398880004883,3.7569398880004883,3.718386173248291,3.1724133491516113,3.1724133491516113,3.2569515705108643,3.2569515705108643,3.2183990478515625,0.9999740123748779,0.9999768733978271,4.8831048011779785,4.692522048950195,30,1.0,0
10,300,74.54528141021729,3.723594903945923,3.8259825706481934,3.8259825706481934,3.772557497024536,3.2236082553863525,3.2236082553863525,3.3259940147399902,3.3259940147399902,3.272569179534912,0.9999735951423645,0.9999773502349854,4.86533784866333,5.031676292419434,30,1.0,0
11,330,84.87047266960144,3.7653417587280273,3.865527629852295,3.865527629852295,3.8119494915008545,3.2653539180755615,3.2653539180755615,3.365539073944092,3.365539073944092,3.3119609355926514,0.9999749660491943,0.9999769926071167,4.84910249710083,4.997541427612305,30,1.0,0
12,360,95.81896781921387,3.799975633621216,3.879211902618408,3.879211902618408,3.848072052001953,3.299987316131592,3.299987316131592,3.3792221546173096,3.3792221546173096,3.348083019256592,0.9999768733978271,0.9999796152114868,4.9052252769470215,5.0672993659973145,30,1.0,0
