generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.26216816902160645,2.1503994464874268,3.414327621459961,3.414327621459961,2.857330560684204,1.851294994354248,1.851294994354248,2.914358377456665,2.914358377456665,2.3724873065948486,0.7952009439468384,0.9999387264251709,5.37732458114624,5.214848518371582,3,0.1,0
2,60,11.070427179336548,2.8075132369995117,3.414327621459961,3.414327621459961,3.229252338409424,2.3412790298461914,2.3412790298461914,2.914358377456665,2.914358377456665,2.729388952255249,0.9600708484649658,0.9999387264251709,5.740057945251465,5.214848518371582,10,0.3333333333333333,1
3,90,21.453842163085938,3.099750280380249,3.414327621459961,3.414327621459961,3.336735963821411,2.611956834793091,2.611956834793091,2.914358377456665,2.914358377456665,2.8367648124694824,0.9818949103355408,0.9999387264251709,5.7541184425354,5.214848518371582,22,0.7333333333333333,2
4,120,30.632641792297363,3.3458738327026367,3.5093228816986084,3.5093228816986084,3.448892593383789,2.845904588699341,2.845904588699341,3.0093367099761963,3.0093367099761963,2.94891095161438,0.9999381899833679,0.9999723434448242,5.577284812927246,5.1063055992126465,30,1.0,0
5,150,40.01437830924988,3.4486517906188965,3.6731033325195312,3.6731033325195312,3.547936201095581,2.9486875534057617,2.9486875534057617,3.1731135845184326,3.1731135845184326,3.04794979095459,0.9999299645423889,0.9999793767929077,5.280029296875,5.2594523429870605,29,0.9666666666666667,0
6,180,49.292927265167236,3.527517080307007,3.748753547668457,3.748753547668457,3.616039276123047,3.0275330543518066,3.0275330543518066,3.248765468597412,3.248765468597412,3.1160519123077393,0.999968409538269,0.9999759197235107,5.249423503875732,5.400935173034668,30,1.0,0
7,210,58.757604122161865,3.5919127464294434,3.748753547668457,3.748753547668457,3.6820099353790283,3.091925621032715,3.091925621032715,3.248765468597412,3.248765468597412,3.182020664215088,0.9999749064445496,0.9999759197235107,5.277738571166992,5.400935173034668,30,1.0,1
8,240,67.29557156562805,3.671144962310791,3.818491220474243,3.818491220474243,3.7398746013641357,3.171156644821167,3.171156644821167,3.3185014724731445,3.3185014724731445,3.2398858070373535,0.9999766945838928,0.9999793767929077,5.371748447418213,5.35790491104126,30,1.0,0
9,270,67.50906801223755,3.7142856121063232,3.8267340660095215,3.8267340660095215,3.781371593475342,3.2142961025238037,3.2142961025238037,3.326744556427002,3.326744556427002,3.2813823223114014,0.9999778866767883,0.9999788999557495,5.402678966522217,5.369643211364746,30,1.0,0
10,300,77.22549843788147,3.759960889816284,3.868013858795166,3.868013858795166,3.8181347846984863,3.259971857070923,3.259971857070923,3.368023633956909,3.368023633956909,3.318145275115967,0.9999778270721436,0.9999803304672241,5.400645732879639,5.3914794921875,30,1.0,0
11,330,87.35256266593933,3.804988145828247,3.9195504188537598,3.9195504188537598,3.861438035964966,3.3049986362457275,3.3049986362457275,3.4195640087127686,3.4195640087127686,3.3614490032196045,0.9999781250953674,0.9999730587005615,5.38346004486084,5.364253520965576,30,1.0,0
12,360,97.70828819274902,3.8458316326141357,3.9325027465820312,3.9325027465820312,3.898115873336792,3.3458428382873535,3.3458428382873535,3.432518720626831,3.432518720626831,3.398127794265747,0.9999769926071167,0.9999682903289795,5.3817219734191895,5.38614559173584,30,1.0,0
