generation,rank,idx,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,success,source_type,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,,3,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,True,3.988306999206543,0.999957799911499,3.488328218460083,3.6315245628356934,0.572785496711731,3.488328218460083,5.416859149932861,0.0,,ga_mutation_crossover,COC(=O)C12NC(=O)C3C(C(=O)O)N(C(=O)N31)C2c1ccccc1,True,1.0,pass,,331.28400000000005,116.24999999999999,2.0,5.0,7.0,-0.7001999999999979,3.0,4.0,24.0,9.0,0.25,0.0,True,ok,0.9990434050559998,3.1140975952148438,3.2161002159118652,0.4080108106136322,3.1140975952148438,5.1639404296875,0.0,3.613619327545166,0.0,not_used,,3.613619327545166,True,pass,1.0
final,,17,COC(=O)C(Cc1ccccc1)CN(CCc1ccccc1)C(=O)c1ccccc1,True,4.079545021057129,0.9999626874923706,3.579563856124878,3.7220358848571777,0.5698882341384888,3.5,5.315722942352295,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)CN(CCc1ccccc1)C(=O)c1ccccc1,True,0.88,pass,,401.5060000000001,46.61,0.0,3.0,3.0,4.403400000000004,9.0,3.0,30.0,4.0,0.6,0.0,True,ok,0.9993896484375,3.1589372158050537,3.256148099899292,0.38884344696998596,3.1589372158050537,6.1431379318237305,0.008817993104457855,3.6586320400238037,0.0,not_used,,3.5986320400238037,True,pass,2.0
final,,8,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,4.086453437805176,0.9999289512634277,3.586489200592041,3.7179741859436035,0.52593994140625,3.5,5.4867143630981445,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)(NC(=O)CCC(=O)O)N1CC(C=O)CC1=O,True,1.0,pass,,390.39200000000017,130.07999999999998,2.0,6.0,8.0,0.1268000000000007,9.0,2.0,28.0,9.0,0.21428571428571427,0.0,True,ok,0.9999704360961914,3.0550432205200195,3.1839194297790527,0.5155048370361328,3.0550432205200195,5.751447677612305,0.0,3.5550284385681152,0.0,not_used,,3.5550284385681152,True,pass,4.0
final,,0,COC(=O)C(Cc1ccccc1)=C(c1cccnc1)N1c2ccc(cc2)S1(=O)=O,True,4.071237564086914,0.9999666213989258,3.5712544918060303,3.7027275562286377,0.5258920788764954,3.5,5.460669040679932,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)=C(c1cccnc1)N1c2ccc(cc2)S1(=O)=O,True,1.0,pass,,406.46300000000014,76.57,0.0,5.0,5.0,3.417300000000002,5.0,5.0,29.0,7.0,0.6206896551724138,0.0,True,ok,0.9988381266593933,2.9333417415618896,3.0156679153442383,0.32930469512939453,2.9333417415618896,5.990897178649902,0.0,3.432760715484619,0.0,not_used,,3.432760715484619,True,pass,5.0
final,,14,COC(=O)C1(Cc2ccccc2)N(C(=O)Cc2ccccc2)n2c(=O)n1c1ccc(Cl)cc12,True,3.9906842708587646,0.9999637603759766,3.4907023906707764,3.621802568435669,0.5244004726409912,3.4907023906707764,5.437211513519287,0.0,,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)N(C(=O)Cc2ccccc2)n2c(=O)n1c1ccc(Cl)cc12,True,1.0,pass,,461.90500000000014,73.53999999999999,0.0,6.0,6.0,3.245800000000002,5.0,5.0,33.0,8.0,0.6363636363636364,1.0,True,ok,0.9668967723846436,2.924802303314209,3.061763286590576,0.5478435158729553,2.924802303314209,6.172907829284668,0.03444049134850502,3.4082508087158203,0.0,not_used,,3.4082508087158203,True,pass,7.0
final,,11,COC(=O)C1(Cc2ccccc2)NC(=O)C2C(C(=O)O)C1(C)NC(=O)N2C,True,4.00826358795166,0.9999475479125977,3.5082895755767822,3.6330814361572266,0.499167263507843,3.5,5.413973808288574,0.0,,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)NC(=O)C2C(C(=O)O)C1(C)NC(=O)N2C,True,1.0,pass,,375.38100000000014,125.04,3.0,5.0,8.0,-0.24619999999999842,4.0,3.0,27.0,9.0,0.2222222222222222,0.0,True,ok,0.9812823534011841,2.8609392642974854,2.9664816856384277,0.4221692383289337,2.8609392642974854,6.126560211181641,0.0,3.3515803813934326,0.0,not_used,,3.3515803813934326,True,pass,8.0
final,,18,CCCCC(C=O)c1cccnc1C(=O)N1CCC(C)CC1,True,4.028707027435303,0.9999666213989258,3.52872371673584,3.659405469894409,0.5227267742156982,3.5,5.429921627044678,0.0,,ga_mutation_crossover,CCCCC(C=O)c1cccnc1C(=O)N1CCC(C)CC1,True,1.0,pass,,302.41800000000006,50.27,0.0,3.0,3.0,3.426400000000002,6.0,2.0,22.0,4.0,0.2727272727272727,0.0,True,ok,0.9996583461761475,2.784740686416626,2.9059879779815674,0.4849890172481537,2.784740686416626,6.027651786804199,0.0,3.28456974029541,0.0,not_used,,3.28456974029541,True,pass,9.0
final,,20,COC(=O)C1(Cc2ccccc2)N(C(=O)Cc2ccccc2)c2c3c4cc(Cl)c2n4c(=O)n31,True,3.98516845703125,0.9999674558639526,3.485184669494629,3.6183629035949707,0.532712459564209,3.485184669494629,5.572308540344238,0.0,,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)N(C(=O)Cc2ccccc2)c2c3c4cc(Cl)c2n4c(=O)n31,True,1.0,pass,,459.88900000000024,73.02000000000001,0.0,6.0,6.0,3.4410000000000025,5.0,6.0,33.0,8.0,0.6363636363636364,1.0,True,ok,0.9978535771369934,2.685758590698242,2.7834725379943848,0.39085617661476135,2.685758590698242,6.28135347366333,0.12777800858020782,3.184685468673706,0.0,not_used,,3.184685468673706,True,pass,11.0
final,,12,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)C(C)(C)C,True,4.015489101409912,0.9999654293060303,3.5155065059661865,3.6575798988342285,0.5682934522628784,3.5,5.37962007522583,0.0,,ga_mutation_crossover,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)C(C)(C)C,True,0.88,pass,,361.5260000000002,46.61,0.0,3.0,3.0,4.614200000000005,9.0,1.0,26.0,4.0,0.23076923076923078,0.0,True,ok,0.9988584518432617,2.7272956371307373,2.7810981273651123,0.2152099758386612,2.7272956371307373,6.524167060852051,0.3367639482021332,3.226724863052368,0.0,not_used,,3.166724863052368,True,pass,12.0
final,,29,COC(=O)C1C(c2ccccc2)C(=O)C(C(C)C)N1CCC(C)(C)C,True,4.071866035461426,0.9999483823776245,3.5718917846679688,3.7061665058135986,0.5370985269546509,3.5,5.373728275299072,0.0,,ga_mutation_crossover,COC(=O)C1C(c2ccccc2)C(=O)C(C(C)C)N1CCC(C)(C)C,True,0.88,pass,,345.4830000000002,46.61000000000001,0.0,4.0,4.0,3.657300000000003,5.0,2.0,25.0,4.0,0.24,0.0,True,ok,0.9400562644004822,2.613250970840454,2.6688804626464844,0.2225179523229599,2.613250970840454,6.614503383636475,0.41451504826545715,3.0832791328430176,0.0,not_used,,3.0232791328430175,True,pass,14.0
final,,25,COC(=O)CC(CC(=O)N1CCN2c3ccc(cc3)C12C)c1ccccc1,True,4.091702938079834,0.9999635219573975,3.5917210578918457,3.714367628097534,0.4905867278575897,3.5,5.47213077545166,0.0,,ga_mutation_crossover,COC(=O)CC(CC(=O)N1CCN2c3ccc(cc3)C12C)c1ccccc1,True,1.0,pass,,364.4450000000001,49.85000000000001,0.0,4.0,4.0,3.2585000000000015,5.0,5.0,27.0,5.0,0.4444444444444444,0.0,True,ok,0.22769621014595032,3.1403844356536865,3.207942247390747,0.27023088932037354,3.1403844356536865,5.9043498039245605,0.0,2.796389579772949,0.0,not_used,,2.796389579772949,False,p_sweet_reencoded_low,15.0
final,,4,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)c1ccccc1,True,4.033173084259033,0.9999587535858154,3.533193826675415,3.669961929321289,0.5470720529556274,3.5,5.524750709533691,0.0,,ga_mutation_crossover,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)c1ccccc1,True,0.88,pass,,381.51600000000013,46.61,0.0,3.0,3.0,4.940800000000005,10.0,2.0,28.0,4.0,0.42857142857142855,0.0,True,ok,0.9991069436073303,1.995145320892334,2.0985655784606934,0.4136810302734375,1.995145320892334,6.085928916931152,0.0,2.4946987628936768,0.0,not_used,,2.4346987628936767,False,pred_logsw_reencoded_low,18.0
final,,22,COC(=O)C(Cc1ccccc1)=C(N)C(C)(C)C,True,3.992170572280884,0.9999572038650513,3.492192029953003,3.6379826068878174,0.5831620097160339,3.492192029953003,5.242240905761719,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)=C(N)C(C)(C)C,True,1.0,pass,,247.338,52.32,1.0,3.0,4.0,2.6610000000000014,3.0,1.0,18.0,3.0,0.3333333333333333,0.0,True,ok,0.9761801362037659,1.6860365867614746,1.7504075765609741,0.2574840486049652,1.6860365867614746,5.254459857940674,0.0,2.174126625061035,0.0,not_used,,2.174126625061035,False,pred_logsw_reencoded_low,20.0
final,,7,COC(=O)C1(Cc2ccccc2)C2c3ccccc3C3CN2C(=O)NC31C,True,3.9976258277893066,0.9993190765380859,3.4979662895202637,3.6193172931671143,0.48540380597114563,3.4979662895202637,5.7267937660217285,0.0,,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)C2c3ccccc3C3CN2C(=O)NC31C,True,0.96,pass,,362.42900000000014,58.64,1.0,3.0,4.0,3.0245000000000006,3.0,7.0,27.0,5.0,0.4444444444444444,0.0,True,ok,0.3721899390220642,2.3385825157165527,2.397756576538086,0.2366958111524582,2.3385825157165527,6.648435115814209,0.4437195658683777,2.182429552078247,0.0,not_used,,2.162429552078247,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,21.0
final,,21,CCSCN1C2(CCCCC2)C(=O)N2C3CCC21c1ccccc13,True,4.06048583984375,0.9999603033065796,3.5605058670043945,3.693035840988159,0.5301196575164795,3.5,5.389075756072998,0.0,,ga_mutation_crossover,CCSCN1C2(CCCCC2)C(=O)N2C3CCC21c1ccccc13,True,0.7000000000000001,pass,too_hydrophobic;low_tpsa,342.50800000000004,23.550000000000004,0.0,3.0,3.0,4.245600000000004,3.0,5.0,24.0,4.0,0.25,0.0,True,ok,0.9998651742935181,1.7627514600753784,1.8785154819488525,0.46305590867996216,1.7627514600753784,6.637791633605957,0.4345588982105255,2.2626841068267822,0.0,not_used,,2.1126841068267823,False,pred_logsw_reencoded_low,22.0
final,,16,CC(C)(C)OC(=O)N1CC2C3CC1C(=O)N(C3)C2c1ccccc1,True,3.9106884002685547,0.9999371767044067,3.410719871520996,3.5500741004943848,0.5574171543121338,3.410719871520996,5.599648475646973,0.0,,ga_mutation_crossover,CC(C)(C)OC(=O)N1CC2C3CC1C(=O)N(C3)C2c1ccccc1,True,1.0,pass,,328.41200000000003,49.85,0.0,3.0,3.0,2.8253000000000013,1.0,4.0,24.0,5.0,0.25,0.0,True,ok,0.0059321485459804535,2.705292224884033,2.8627285957336426,0.6297454237937927,2.705292224884033,6.613399505615234,0.4135649502277374,2.0730040073394775,0.0,not_used,,2.0730040073394775,False,p_sweet_reencoded_low,23.0
final,,19,COC(=O)C(Cc1ccccc1)C12CC(c3cccnc3)C3C1OC(=O)N3C2,True,3.9249932765960693,0.9999176263809204,3.425034523010254,3.571690320968628,0.586622953414917,3.425034523010254,5.659270763397217,0.0,,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)C12CC(c3cccnc3)C3C1OC(=O)N3C2,True,1.0,pass,,378.4280000000001,68.73,0.0,5.0,5.0,2.7902000000000013,5.0,5.0,28.0,6.0,0.42857142857142855,0.0,True,ok,0.050075072795152664,2.389859914779663,2.4170498847961426,0.10875950008630753,2.389859914779663,7.434427738189697,1.1202114820480347,1.8053840398788452,0.0,not_used,,1.8053840398788452,False,p_sweet_reencoded_low;pred_logsw_reencoded_low;d_ood_reencoded_high,24.0
final,,26,CC(C)C1N2C(=O)C(C)N3C(=O)C4CN5C(=O)C41CCC532,True,4.029941558837891,0.999907374382019,3.5299880504608154,3.6727638244628906,0.5711034536361694,3.5,5.492404937744141,0.0,,ga_mutation_crossover,CC(C)C1N2C(=O)C(C)N3C(=O)C4CN5C(=O)C41CCC532,True,1.0,pass,,289.33500000000004,60.93000000000001,0.0,3.0,3.0,-0.010100000000000664,1.0,6.0,21.0,6.0,0.0,0.0,True,ok,0.014481514692306519,2.409942626953125,2.5552382469177246,0.5811829566955566,2.409942626953125,5.699446201324463,0.0,1.7887685298919678,0.0,not_used,,1.7887685298919678,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,25.0
final,,28,CN1CC2Oc3c(cc4c5c3N3C(=O)C6CN5C3C46)C2(C)NC1=O,True,3.958355665206909,0.999052107334137,3.458829641342163,3.5832607746124268,0.49772459268569946,3.458829641342163,5.7888994216918945,0.0,,ga_mutation_crossover,CN1CC2Oc3c(cc4c5c3N3C(=O)C6CN5C3C46)C2(C)NC1=O,True,0.96,pass,,324.34000000000003,65.12,1.0,4.0,5.0,0.5375000000000001,0.0,7.0,24.0,7.0,0.25,0.0,True,ok,0.0022313199006021023,2.1985132694244385,2.3089423179626465,0.4417160749435425,2.1985132694244385,6.427876949310303,0.2538885176181793,1.5614137649536133,0.0,not_used,,1.5414137649536133,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,26.0
final,,6,COC(=O)CCc1ccc(OC(F)(F)F)cc1,True,3.9992058277130127,0.9999669790267944,3.4992222785949707,3.6340363025665283,0.5392559170722961,3.4992222785949707,5.373141288757324,0.0,,ga_mutation_crossover,COC(=O)CCc1ccc(OC(F)(F)F)cc1,True,1.0,pass,,248.19999999999996,35.53,0.0,3.0,3.0,2.6908000000000003,4.0,1.0,17.0,6.0,0.35294117647058826,3.0,True,ok,0.9991676807403564,0.9339169859886169,1.0338068008422852,0.39955934882164,0.9339169859886169,5.882001876831055,0.0,1.4335007667541504,0.0,not_used,,1.4335007667541504,False,pred_logsw_reencoded_low,27.0
final,,23,COC(=O)CCc1ccccc1,True,4.039680004119873,0.9999622106552124,3.539699077606201,3.679302930831909,0.5584152340888977,3.5,5.371615409851074,0.0,,ga_mutation_crossover,COC(=O)CCc1ccccc1,True,0.43999999999999995,pass,low_hbond_capacity;low_tpsa;few_hetero_atoms,164.204,26.3,0.0,2.0,2.0,1.7921999999999998,3.0,1.0,12.0,2.0,0.5,0.0,True,ok,0.9999184608459473,0.8875298500061035,1.0178700685501099,0.5213609933853149,0.8875298500061035,3.9532783031463623,0.0,1.3874890804290771,0.0,not_used,,1.1074890804290771,False,pred_logsw_reencoded_low,28.0
