generation,idx,source_type,smiles,valid,score_ga,p_sweet,pred_logsw,pred_logsw_mean,pred_logsw_std,pred_logsw_clipped,d_ood,d_ood_norm,canonical_smiles,descriptor_ok,descriptor_score,descriptor_filter_reason,risk_flags,MolWt,TPSA,HBD,HBA,HBA_HBD_sum,LogP,RotB,RingCount,HeavyAtoms,HeteroAtoms,AromaticRatio,HalogenCount,reencode_ok,reencode_reason,p_sweet_reencoded,pred_logsw_reencoded,pred_logsw_mean_reencoded,pred_logsw_std_reencoded,pred_logsw_clipped_reencoded,d_ood_reencoded,d_ood_norm_reencoded,score_reencoded,llm_score,llm_decision,llm_reason,final_score,reliable_candidate,reliable_filter_reason,final_rank
final,4,ga_mutation_crossover,COC(=O)C(=CC=C(C=c1c2c3ccccc3n1CNN=2)OC)Cc1ccccc1,True,4.012502193450928,0.999922513961792,3.5125410556793213,3.613100051879883,0.40223604440689087,3.5,5.1670355796813965,0.0,COC(=O)C(=CC=C(C=c1c2c3ccccc3n1CNN=2)OC)Cc1ccccc1,True,1.0,pass,,401.4660000000001,64.85,1,6,7,2.3895,6,4,30,6,0.5,0,True,ok,0.9950851798057556,2.98579740524292,3.0134387016296387,0.11056522279977798,2.98579740524292,6.184932231903076,0.04478970915079117,3.48334002494812,0.0,not_used,,3.48334002494812,True,pass,1
final,22,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)CNC(=O)N1c1ccc2nc(-c3cccnc3)[nH]c2c1,True,4.106448173522949,0.9996938705444336,3.6066014766693115,3.692103624343872,0.3420087397098541,3.5,5.361799240112305,0.0,COC(=O)C1(Cc2ccccc2)CNC(=O)N1c1ccc2nc(-c3cccnc3)[nH]c2c1,True,1.0,pass,,427.4640000000001,100.21000000000001,2,5,7,3.309000000000001,5,5,32,8,0.65625,0,True,ok,0.9495543241500854,3.006704568862915,3.074885845184326,0.2727248966693878,3.006704568862915,6.567187309265137,0.37379083037376404,3.4814817905426025,0.0,not_used,,3.4814817905426025,True,pass,2
final,5,ga_mutation_crossover,COC(=O)C1(Cc2ccccc2)C2=NCc3cccnc3N2C(=O)N1c1ccc(C#N)cc1,True,4.085442066192627,0.9996944665908813,3.585594892501831,3.669661045074463,0.3362642824649811,3.5,5.551630973815918,0.0,COC(=O)C1(Cc2ccccc2)C2=NCc3cccnc3N2C(=O)N1c1ccc(C#N)cc1,True,1.0,pass,,437.4590000000002,98.88999999999999,0,6,6,3.4664800000000024,4,5,33,8,0.5454545454545454,0,True,ok,0.6877800226211548,3.2019031047821045,3.2862911224365234,0.33755189180374146,3.2019031047821045,6.48830509185791,0.30589810013771057,3.456017017364502,0.0,not_used,,3.456017017364502,False,p_sweet_reencoded_low,3
final,23,ga_mutation_crossover,CCC(C)Oc1ccc(C(CC(=O)OC)S(=O)(=O)c2ccccc2)cc1,True,3.9989233016967773,0.9998810291290283,3.4989829063415527,3.595820188522339,0.3873487412929535,3.4989829063415527,5.241607189178467,0.0,CCC(C)Oc1ccc(C(CC(=O)OC)S(=O)(=O)c2ccccc2)cc1,True,0.88,pass,,376.47400000000005,69.67,0,5,5,3.942000000000003,8,2,26,6,0.46153846153846156,0,True,ok,0.9931308627128601,2.5456531047821045,2.603078842163086,0.22970324754714966,2.5456531047821045,5.821254730224609,0.0,3.0422184467315674,0.0,not_used,,2.9822184467315673,False,pred_logsw_reencoded_low,4
final,27,ga_mutation_crossover,COC(=O)CCc1ccccc1N(CCC(C)(C)C)CC(=O)OC,True,3.9779977798461914,0.9998842477798462,3.478055715560913,3.5817527770996094,0.41478806734085083,3.478055715560913,5.364712715148926,0.0,COC(=O)CCc1ccccc1N(CCC(C)(C)C)CC(=O)OC,True,1.0,pass,,335.44400000000013,55.84,0,5,5,3.2078000000000015,8,1,24,5,0.25,0,True,ok,0.8081052899360657,2.4403629302978516,2.593576192855835,0.6128528118133545,2.4403629302978516,6.519814491271973,0.3330177664756775,2.8444156646728516,0.0,not_used,,2.8444156646728516,False,pred_logsw_reencoded_low,5
final,21,ga_mutation_crossover,COC(=O)N(CCc1ccccc1)C(CCCCC=O)ON=C(C)N,True,4.0324859619140625,0.9994117021560669,3.5327799320220947,3.620945692062378,0.35266274213790894,3.5,5.40588903427124,0.0,COC(=O)N(CCc1ccccc1)C(CCCCC=O)ON=C(C)N,True,1.0,pass,,349.4310000000001,94.22,1,5,6,2.6916,11,1,25,7,0.24,0,True,ok,0.9872323274612427,2.282219409942627,2.4419331550598145,0.6388550996780396,2.282219409942627,6.285355091094971,0.13122212886810303,2.7758355140686035,0.0,not_used,,2.7758355140686035,False,pred_logsw_reencoded_low,6
final,6,ga_mutation_crossover,CCn1cnc2c1c(=O)n(C1(O)Cc3ccccc3C1)c(=O)n2C,True,4.0272216796875,0.9999159574508667,3.527263641357422,3.6329338550567627,0.42268106341362,3.5,5.3809332847595215,0.0,CCn1cnc2c1c(=O)n(C1(O)Cc3ccccc3C1)c(=O)n2C,True,1.0,pass,,326.3560000000001,82.05000000000001,1,7,8,0.36050000000000004,2,4,24,7,0.625,0,True,ok,0.7497470378875732,2.4339680671691895,2.5145583152770996,0.3223605751991272,2.4339680671691895,6.363664627075195,0.1986219584941864,2.768639326095581,0.0,not_used,,2.768639326095581,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,7
final,13,ga_mutation_crossover,COC(=O)C(Cc1ccccc1)C(C)CCSc1ncccc1CN,True,3.9997880458831787,0.9999052286148071,3.49983549118042,3.5959575176239014,0.3844877779483795,3.49983549118042,5.24911642074585,0.0,COC(=O)C(Cc1ccccc1)C(C)CCSc1ncccc1CN,True,0.88,pass,,358.5070000000001,65.21,1,5,6,3.690500000000002,9,2,25,5,0.48,0,True,ok,0.9948198199272156,2.2618014812469482,2.39083194732666,0.516121506690979,2.2618014812469482,5.626459121704102,0.0,2.759211301803589,0.0,not_used,,2.699211301803589,False,pred_logsw_reencoded_low,8
final,17,ga_mutation_crossover,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)C(C)(C)C,True,4.022047996520996,0.9999421834945679,3.5220770835876465,3.6086738109588623,0.3463873863220215,3.5,5.294240951538086,0.0,CCCCCC(=O)N(C(Cc1ccccc1)C(=O)OC)C(C)C(C)(C)C,True,0.88,pass,,361.5260000000002,46.61,0,3,3,4.614200000000005,9,1,26,4,0.23076923076923078,0,True,ok,0.998562753200531,2.2573280334472656,2.362295627593994,0.4198704659938812,2.2573280334472656,6.188551902770996,0.04790510609745979,2.7566094398498535,0.0,not_used,,2.6966094398498535,False,pred_logsw_reencoded_low,9
final,29,ga_mutation_crossover,CNC(=O)N1CCN(C)c2c1cccc2N1C(=O)C2CCCCC2C1=O,True,3.9636621475219727,0.9987296462059021,3.464297294616699,3.551872730255127,0.35030144453048706,3.464297294616699,5.645343780517578,0.0,CNC(=O)N1CCN(C)c2c1cccc2N1C(=O)C2CCCCC2C1=O,True,1.0,pass,,356.4260000000002,72.96000000000001,1,4,5,1.9617999999999998,1,4,26,7,0.23076923076923078,0,True,ok,0.38353392481803894,2.5722692012786865,2.6424033641815186,0.2805367410182953,2.5722692012786865,5.912134170532227,0.0,2.430863380432129,0.0,not_used,,2.430863380432129,False,p_sweet_reencoded_low;pred_logsw_reencoded_low,10
