generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.23944091796875,2.1503994464874268,3.414327621459961,3.414327621459961,2.857330560684204,1.851294994354248,1.851294994354248,2.914358377456665,2.914358377456665,2.3724873065948486,0.7952009439468384,0.9999387264251709,5.37732458114624,5.214848518371582,3,0.1,0
2,60,11.061327457427979,2.8075132369995117,3.414327621459961,3.414327621459961,3.229252338409424,2.3412790298461914,2.3412790298461914,2.914358377456665,2.914358377456665,2.729388952255249,0.9600708484649658,0.9999387264251709,5.740057945251465,5.214848518371582,10,0.3333333333333333,1
3,90,21.445560455322266,3.099750280380249,3.414327621459961,3.414327621459961,3.336735963821411,2.611956834793091,2.611956834793091,2.914358377456665,2.914358377456665,2.8367648124694824,0.9818949103355408,0.9999387264251709,5.7541184425354,5.214848518371582,22,0.7333333333333333,2
4,120,31.860954761505127,3.3583195209503174,3.5093228816986084,3.5093228816986084,3.4580063819885254,2.8605852127075195,2.8605852127075195,3.0093367099761963,3.0093367099761963,2.964740037918091,0.9954686760902405,0.9999723434448242,5.584627628326416,5.1063055992126465,30,1.0,0
5,150,40.63999795913696,3.449293851852417,3.6731033325195312,3.6731033325195312,3.5462963581085205,2.9540631771087646,2.9540631771087646,3.1731135845184326,3.1731135845184326,3.0463085174560547,0.9904614686965942,0.9999793767929077,5.3552656173706055,5.2594523429870605,29,0.9666666666666667,0
6,180,49.25039076805115,3.527674913406372,3.748753547668457,3.748753547668457,3.6165060997009277,3.029129981994629,3.029129981994629,3.248765468597412,3.248765468597412,3.120842456817627,0.9970898032188416,0.9999759197235107,5.28575325012207,5.400935173034668,30,1.0,0
7,210,50.646437644958496,3.609589099884033,3.8627002239227295,3.8627002239227295,3.70369029045105,3.1101531982421875,3.1101531982421875,3.379262924194336,3.379262924194336,3.2053558826446533,0.9988719820976257,0.9668744802474976,5.308322429656982,6.035295009613037,30,1.0,0
8,240,60.59403109550476,3.7174220085144043,3.917783260345459,3.917783260345459,3.8218140602111816,3.219543218612671,3.219543218612671,3.4437577724456787,3.4437577724456787,3.3273868560791016,0.9957573413848877,0.9480510354042053,5.4554033279418945,6.069045543670654,30,1.0,0
9,270,68.75039052963257,3.7951202392578125,3.9503254890441895,3.9503254890441895,3.8959083557128906,3.30073618888855,3.30073618888855,3.4704291820526123,3.4704291820526123,3.4075684547424316,0.9887682199478149,0.95979243516922,5.6474833488464355,6.11783504486084,30,1.0,0
10,300,77.50992345809937,3.8636703491210938,4.004128932952881,4.004128932952881,3.942659854888916,3.377634286880493,3.377150058746338,3.5145339965820312,3.5145339965820312,3.458461046218872,0.9720723628997803,0.9791895151138306,5.760885715484619,5.658069610595703,30,1.0,0
11,330,86.21794843673706,3.915339946746826,4.0044779777526855,4.0044779777526855,3.971186399459839,3.4341232776641846,3.4321188926696777,3.5131943225860596,3.5145339965820312,3.4890847206115723,0.962433934211731,0.9825673699378967,5.873539447784424,6.07673978805542,30,1.0,0
12,360,94.95597219467163,3.9478394985198975,4.048469543457031,4.048469543457031,3.9931368827819824,3.4703023433685303,3.4650001525878906,3.565375566482544,3.565375566482544,3.5111892223358154,0.9555784463882446,0.966187596321106,5.929498672485352,6.226260662078857,29,0.9666666666666667,0
