generation,generated_basic_gate_count,strict_bpe_injected_count,replace_indices,acceptance_rule,seed
3,3,1,[10],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2029
6,3,1,[19],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2029
9,3,0,[],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2029
3,3,1,[12],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2026
6,3,1,[19],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2026
9,3,0,[],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2026
3,3,1,[12],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2027
6,3,1,[24],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2027
9,3,0,[],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2027
3,3,3,"[3, 18, 22]",locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2030
6,3,1,[26],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2030
9,3,0,[],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2030
3,3,1,[3],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2028
6,3,1,[23],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2028
9,3,0,[],locally_refined candidate_score >= incumbent_score + min_gain and population quantile floor and novelty >= min_novelty,2028
