method,seed,generation,hard_pass,n,topk_logsw,topk_p_sweet,best_logsw,mean_ood
A,2026,1,1,5,2.8699190616607666,0.6495405405759811,3.432020664215088,6.155353832244873
A,2026,2,3,5,3.0651928901672365,0.7348909854888916,3.391131639480591,6.087319564819336
A,2026,3,4,5,3.277334785461426,0.8535340428352356,3.634896278381348,5.732220935821533
A,2026,4,3,5,3.4922280311584473,0.7664998292922973,3.664867162704468,6.0039064407348635
A,2026,5,4,5,3.5235864162445067,0.8604376316070557,3.683474779129028,5.834733676910401
A,2026,6,5,5,3.5311633110046388,0.8833892226219178,3.551248073577881,5.8795782089233395
A,2026,7,5,5,3.554430675506592,0.8863385558128357,3.5839874744415283,5.864672756195068
A,2026,8,5,5,3.587896728515625,0.9217566251754761,3.608553886413574,5.8353170394897464
A,2026,9,5,5,3.5994342803955077,0.9338340520858764,3.608553886413574,5.827091121673584
A,2026,10,5,5,3.6167166233062744,0.9513080239295959,3.633873224258423,5.711485195159912
A,2026,11,5,5,3.661882925033569,0.9747957229614258,3.684204578399658,5.766467094421387
A,2026,12,5,5,3.6906261444091797,0.9757782578468323,3.709466218948364,5.7906722068786625
A,2027,1,2,5,3.0036041736602783,0.5928797541186214,3.172656536102295,5.404855632781983
A,2027,2,3,5,2.994798994064331,0.8917660474777221,3.06813907623291,5.658128547668457
A,2027,3,4,4,3.1456003189086914,0.9655120968818665,3.260336637496948,5.330689072608948
A,2027,4,5,5,3.275559997558594,0.9987060308456421,3.3241336345672607,5.333987522125244
A,2027,5,5,5,3.380804920196533,0.9993265867233276,3.4388439655303955,5.219611358642578
A,2027,6,5,5,3.4631156444549562,0.9992181062698364,3.475961923599243,5.155848693847656
A,2027,7,5,5,3.480149030685425,0.9992417454719543,3.493413209915161,5.164731788635254
A,2027,8,5,5,3.524956750869751,0.9986879229545593,3.565187454223633,5.186929035186767
A,2027,9,5,5,3.567653942108154,0.998667860031128,3.584926128387451,5.16213026046753
A,2027,10,5,5,3.596638584136963,0.9982847332954407,3.6184377670288086,5.102705955505371
A,2027,11,5,5,3.644208812713623,0.9968574166297912,3.669760227203369,5.087872409820557
A,2027,12,5,5,3.6696270942687987,0.9923860192298889,3.7000670433044434,5.190258026123047
A,2028,1,2,5,2.818656635284424,0.6717513312585652,3.3369152545928955,5.837521648406982
A,2028,2,5,5,2.8461323738098145,0.9307877540588378,2.998730421066284,5.637607097625732
A,2028,3,5,5,2.883396863937378,0.9559056997299195,3.031024217605591,5.522462654113769
A,2028,4,3,3,3.0328683058420816,0.9334347248077393,3.0671262741088867,5.188586235046387
A,2028,5,4,4,3.0771151185035706,0.9346559643745422,3.102952480316162,5.466970682144165
A,2028,6,5,5,3.1253963470458985,0.9472968459129334,3.164043664932251,5.4071368217468265
A,2028,7,5,5,3.1580461978912355,0.9623925685882568,3.1709508895874023,5.483906173706055
A,2028,8,5,5,3.221136283874512,0.9649518489837646,3.2737574577331543,5.519913005828857
A,2028,9,5,5,3.251367521286011,0.9696306705474853,3.280155897140503,5.500711441040039
A,2028,10,5,5,3.2993369102478027,0.9665509819984436,3.317380428314209,5.471779441833496
A,2028,11,5,5,3.333204984664917,0.966244125366211,3.3678109645843506,5.515334606170654
A,2028,12,5,5,3.357962131500244,0.9756301879882813,3.3678109645843506,5.506209182739258
A,2029,1,3,5,3.0738897800445555,0.6921903938055038,3.232475519180298,5.99809627532959
A,2029,2,3,3,3.1510340372721353,0.8683454990386963,3.242018699645996,6.028316179911296
A,2029,3,4,4,3.2319244742393494,0.8758387267589569,3.242018699645996,5.998871326446533
A,2029,4,3,3,3.24963108698527,0.892192562421163,3.2638261318206787,6.106467088063558
A,2029,5,4,4,3.2540640830993652,0.9283312857151031,3.274039030075073,6.23525857925415
A,2029,6,3,3,3.2863404750823975,0.9525749882062277,3.303306102752685,6.196904341379802
A,2029,7,5,5,3.329323101043701,0.9244301795959473,3.373044013977051,6.077072620391846
A,2029,8,4,4,3.35689914226532,0.9165465384721756,3.373044013977051,6.239351749420166
A,2029,9,3,4,3.4139142632484436,0.9112913459539413,3.5364577770233154,6.343074321746826
A,2029,10,3,5,3.460998296737671,0.8866181015968323,3.5364577770233154,6.18011474609375
A,2029,11,5,5,3.4851858615875244,0.936104929447174,3.618023157119751,6.4393792152404785
A,2029,12,5,5,3.5129353523254396,0.9028651237487793,3.618023157119751,6.29963903427124
A,2030,1,2,5,3.173524761199951,0.7068197011947632,3.5261430740356445,6.078597068786621
A,2030,2,4,5,3.1485180854797363,0.9518536686897278,3.5261430740356445,5.62693510055542
A,2030,3,3,4,3.2710354924201965,0.9414577484130859,3.537259817123413,5.540789604187012
A,2030,4,1,3,3.530226548512777,0.7876706123352051,3.5380518436431885,4.724327405293782
A,2030,5,4,5,3.668929100036621,0.8818215012550354,3.771147966384888,4.726289939880371
A,2030,6,5,5,3.836327838897705,0.9147876739501953,3.866301059722901,4.935758590698242
A,2030,7,5,5,3.980136203765869,0.9070885896682739,4.013553619384766,5.050665187835693
A,2030,8,5,5,4.028247451782226,0.909164834022522,4.04868745803833,5.103866291046143
A,2030,9,5,5,4.0518372535705565,0.9457343935966491,4.073076248168945,5.1303955078125
A,2030,10,5,5,4.082918262481689,0.9430310964584351,4.106014251708984,5.15772008895874
A,2030,11,5,5,4.111758995056152,0.9459004759788513,4.141178131103516,5.220196914672852
A,2030,12,5,5,4.14647102355957,0.9472474932670594,4.169124126434326,5.2092279434204105
B,2026,1,2,5,2.4275699615478517,0.9721946120262146,2.752410888671875,6.6470342636108395
B,2026,2,4,5,2.734071063995361,0.9983420968055725,2.844266414642334,6.321831798553466
B,2026,3,5,5,2.8580020904541015,0.9922515273094177,2.9155068397521973,6.056755447387696
