generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,mean_docking_score,best_docking_score,mean_gated_base_score,best_gated_base_score,success_count,success_rate,no_improve,method,seed
1,30,0.2924067974090576,7.623751640319824,9.299211502075195,9.299211502075195,8.884777069091797,1.884840488433838,1.884840488433838,1.840245604515076,1.840245604515076,2.0396695137023926,0.8013492226600647,0.9980766773223876,5.248062610626221,5.902712821960449,7.623751640319824,9.299211502075195,2.232408046722412,2.339283943176269,11,0.3666666666666666,0,Docking predictor only,2026
2,60,0.3584964275360107,8.839908599853516,9.431245803833008,9.431245803833008,9.311053276062012,2.0375189781188965,2.0375189781188965,2.536355972290039,2.536355972290039,2.145841360092163,0.8661466240882874,0.9997571110725404,5.732737064361572,5.914039134979248,8.839908599853516,9.431245803833008,2.4477221965789795,3.0362346172332764,15,0.5,0,Docking predictor only,2026
3,90,0.4457235336303711,9.306695938110352,9.865792274475098,9.865792274475098,9.465232849121094,2.267158508300781,2.267158508300781,2.07505750656128,2.536355972290039,2.25455093383789,0.9069983959197998,0.9999663829803468,6.256726741790772,5.312035083770752,9.306695938110352,9.865792274475098,2.716113805770874,2.575040817260742,21,0.7,0,Docking predictor only,2026
4,120,0.5285375118255615,9.473422050476074,9.970781326293944,9.970781326293944,9.690457344055176,2.2444381713867188,2.2444381713867188,2.2749099731445312,2.536355972290039,2.314542531967163,0.9131942391395568,0.999958038330078,6.015491008758545,5.296839237213135,9.473422050476074,9.970781326293944,2.684866189956665,2.7748889923095703,20,0.6666666666666666,0,Docking predictor only,2026
5,150,0.6130490303039551,9.7196683883667,10.016521453857422,10.016521453857422,9.93803882598877,2.329942464828491,2.329942464828491,2.242201566696167,2.536355972290039,2.148323535919189,0.9974661469459534,0.9999630451202391,5.567088127136231,5.311355113983154,9.7196683883667,10.016521453857422,2.8286757469177246,2.742183208465576,28,0.9333333333333332,0,Docking predictor only,2026
6,180,0.6937668323516846,9.913019180297852,10.123574256896973,10.123574256896973,10.045483589172363,2.1782734394073486,2.1782734394073486,1.9282848834991453,2.536355972290039,2.215707778930664,0.999734103679657,0.9999370574951172,5.376670837402344,5.371108055114746,9.913019180297852,10.123574256896973,2.678140163421631,2.428253412246704,26,0.8666666666666667,0,Docking predictor only,2026
7,210,0.7685070037841797,10.02259922027588,10.230359077453612,10.230359077453612,10.129164695739746,2.212256908416748,2.212256908416748,2.2553927898406982,2.536355972290039,2.2321224212646484,0.9999399185180664,0.9999735355377196,5.377892017364502,5.343552589416504,10.02259922027588,10.230359077453612,2.712226629257202,2.755379676818848,25,0.8333333333333334,0,Docking predictor only,2026
8,240,0.8608033657073975,10.1064453125,10.321578025817873,10.321578025817873,10.225263595581056,2.2118613719940186,2.2118613719940186,2.2989954948425293,2.536355972290039,2.176727771759033,0.99993896484375,0.9999748468399048,5.376554489135742,5.355353832244873,10.1064453125,10.321578025817873,2.7118308544158936,2.798982858657837,23,0.7666666666666667,0,Docking predictor only,2026
9,270,0.9253501892089844,10.185226440429688,10.3395357131958,10.3395357131958,10.276009559631348,2.210814476013184,2.210814476013184,2.333556652069092,2.536355972290039,2.282432079315185,0.9999441504478456,0.9999754428863524,5.372684001922607,5.389953136444092,10.185226440429688,10.3395357131958,2.7107863426208496,2.8335442543029785,27,0.9,0,Docking predictor only,2026
10,300,1.020503282546997,10.221325874328612,10.47482204437256,10.47482204437256,10.320467948913574,2.2526838779449463,2.2526838779449463,2.3649535179138184,2.536355972290039,2.2920284271240234,0.99995356798172,0.9999687671661376,5.361765861511231,5.431001663208008,10.221325874328612,10.47482204437256,2.752660036087036,2.8649377822875977,29,0.9666666666666668,0,Docking predictor only,2026
11,330,1.096616506576538,10.297928810119627,10.47482204437256,10.47482204437256,10.38186264038086,2.296074628829956,2.296074628829956,2.3649535179138184,2.536355972290039,2.298022747039795,0.9999629855155944,0.9999687671661376,5.380851268768311,5.431001663208008,10.297928810119627,10.47482204437256,2.796056032180786,2.8649377822875977,30,1.0,1,Docking predictor only,2026
12,360,1.1823878288269043,10.374731063842772,10.608115196228027,10.608115196228027,10.483081817626951,2.2929012775421143,2.2929012775421143,2.398965358734131,2.536355972290039,2.344451904296875,0.9999685883522034,0.9999581575393676,5.384609699249268,5.579220771789551,10.374731063842772,10.608115196228027,2.7928857803344727,2.89894437789917,28,0.9333333333333332,0,Docking predictor only,2026
1,30,0.2872083187103271,7.623751640319824,9.299211502075195,9.299211502075195,8.884777069091797,1.884840607643128,1.884840607643128,1.840245604515076,1.840245604515076,2.0396695137023926,0.8013491034507751,0.9980766773223876,5.248062133789063,5.902712821960449,7.623751640319824,9.299211502075195,2.232408046722412,2.339283943176269,11,0.3666666666666666,0,Docking predictor only,2027
2,60,0.3651671409606933,8.80311107635498,9.360197067260742,9.360197067260742,9.276865005493164,2.0677802562713623,2.0677802562713623,2.4435818195343018,2.4435818195343018,2.190682172775269,0.931437611579895,0.9997952580451964,5.794740676879883,6.536881446838379,8.80311107635498,9.360197067260742,2.53226637840271,2.943479537963867,17,0.5666666666666667,0,Docking predictor only,2027
